date,year,month,v_flow_mean_lower,v_loss_cover_lower,v_rainfall_total_lower,v_flow_mean_mean,v_loss_cover_mean,v_rainfall_total_mean,v_flow_mean_upper,v_loss_cover_upper,v_rainfall_total_upper
2020-01-01,2020,1,-12.172507098053405,0.04791005344852293,-41.50358222778743,0.6205332250818785,0.04801244998945643,161.45499787501353,13.413573548217162,0.048114846530389936,364.4135779778145
2020-02-01,2020,2,-8.45256735585984,0.047917553544220115,-14.76853649653404,5.629700503869081,0.04813584311923348,192.43669289431136,19.711968363598004,0.04835413269424685,399.64192228515674
2020-03-01,2020,3,-3.5892199697836453,0.047875283514407264,77.78456225374913,10.687310003219395,0.04822425532213432,285.54574492364054,24.963839976222435,0.048573227129861375,493.30692759353195
2020-04-01,2020,4,-4.155021133087061,0.04780332300071798,5.763974957458714,10.25639263495885,0.04829168017888995,214.93246534209015,24.66780640300476,0.04878003735706191,424.1009557267216
2020-05-01,2020,5,-10.093600623508761,0.04772017384961762,-87.9947822757562,4.408383666429749,0.048354262379751704,122.31418784433731,18.910367956368262,0.04898835090988579,332.6231579644308
2020-06-01,2020,6,-15.523421471752616,0.04762129662814491,-189.22674985542204,-0.8726984266643214,0.04840601563582092,22.551654369051448,13.778024618423974,0.04919073464349693,234.33005859352494
2020-07-01,2020,7,-16.49063396591808,0.04752233153692006,-204.18517375989805,-1.6968272889398435,0.048460781278362605,9.330270167767821,13.096979388038392,0.04939923101980515,222.8457140954337
2020-08-01,2020,8,-14.4702977856215,0.04743592340387268,-167.78332146711207,0.4159314557719611,0.04853061219133488,46.1653152710478,15.302160697165423,0.049625300978797075,260.11395200920765
2020-09-01,2020,9,-15.721834233433583,0.04735820567208066,-171.43067843832367,-0.631710737400283,0.04861065646837656,45.85190335277139,14.458412758633017,0.04986310726467246,263.1344851438664
2020-10-01,2020,10,-13.82251128531983,0.04728745153744024,-146.38186240729482,1.6544891011712224,0.048698022718199355,82.42290179000474,17.131489487662275,0.05010859389895847,311.2276659873043
2020-11-01,2020,11,-15.658612045769628,0.047213012376845456,-160.677509776634,0.2577514562965675,0.048782334818790594,72.74920558865756,16.174114958362765,0.05035165726073573,306.1759209539491
2020-12-01,2020,12,-15.965856747184532,0.047151841437858596,-189.3673838329366,0.18000222089204954,0.048880657999682,47.63843809430796,16.32586118896863,0.0506094745615054,284.64426002155255
2021-01-01,2021,1,-18.130954694509263,0.04709772942730448,-185.781409279503,-1.5738783547261335,0.048977100452044814,65.11221988441616,14.983197985056997,0.050856471476785146,316.00584904833534
2021-02-01,2021,2,-12.969935962130435,0.04705662452760555,-83.77246210868577,4.28040713272096,0.049075783447379215,178.54594723719424,21.530750227572355,0.05109494236715288,440.86435658307425
2021-03-01,2021,3,-8.593148417236986,0.0470309384673122,-30.681090607951717,8.748644472341155,0.04917829378115014,232.25805281901216,26.090437361919296,0.05132564909498809,495.19719624597604
2021-04-01,2021,4,-7.859483958641295,0.04702433327020142,-47.207019703143146,9.510029681202347,0.0492885752984936,216.25206751770247,26.87954332104599,0.05155281732678578,479.7111547385481
2021-05-01,2021,5,-11.607043287771614,0.04703073584075931,-123.87415134819554,5.797517094064901,0.04940139832885328,140.36966467584057,23.202077475901415,0.05177206081694724,404.6134806998767
2021-06-01,2021,6,-15.13903920786182,0.04705228825948795,-195.05721695518082,2.2691002655870562,0.049520380797293755,69.34890736987586,19.677239739035933,0.05198847333509956,333.75503169493254
