date,year,month,v_flow_mean_lower,v_loss_cover_lower,v_rainfall_total_lower,v_flow_mean_mean,v_loss_cover_mean,v_rainfall_total_mean,v_flow_mean_upper,v_loss_cover_upper,v_rainfall_total_upper
2018-01-01,2018,1,0.33310104089663706,0.07196221441678166,68.66267919309962,2.2086587253444647,0.07208145152011035,213.58428153119485,4.084216409792292,0.07220068862343904,358.5058838692901
2018-02-01,2018,2,0.17448214655197924,0.07206134062556968,-7.294296271948923,2.12289132898252,0.07231769949422491,144.87136275272087,4.07130051141306,0.07257405836288014,297.0370217773907
2018-03-01,2018,3,0.2909749316660324,0.07214166642507869,-16.98502941838595,2.2726306858450678,0.07255657379380669,136.87565898506773,4.254286440024103,0.07297148116253468,290.7363473885214
2018-04-01,2018,4,0.5575535902971733,0.07222753759954996,-27.143826744153074,2.6029165527991767,0.07281941288136061,131.6380775351604,4.64827951530118,0.07341128816317126,290.4199818144739
2018-05-01,2018,5,1.1931176601325078,0.07232423472077251,-35.38363641401722,3.245119305591051,0.07310425962587151,126.37334630238274,5.297120951049594,0.07388428453097051,288.13032901878273
2018-06-01,2018,6,2.288260117711683,0.07244448894814792,-17.208748051909282,4.36309110378497,0.07342029445049895,151.36675396142346,6.437922089858256,0.07439609995284999,319.9422559747562
2018-07-01,2018,7,2.6421747441974057,0.07259007598471097,-48.599331643405066,4.77839016601402,0.07376564165062095,123.04603610632148,6.914605587830635,0.07494120731653094,294.69140385604805
2018-08-01,2018,8,1.585923785355341,0.07274776004155872,-96.66295979065211,3.8618331606066354,0.07412275419885704,75.88363322497025,6.13774253585793,0.07549774835615536,248.43022624059262
2018-09-01,2018,9,0.5675218517916321,0.07291458314340445,-93.55241197541352,2.873520714975479,0.07448619898356727,79.78991820504098,5.179519578159326,0.0760578148237301,253.13224838549547
2018-10-01,2018,10,0.18697196869099963,0.07309605973290417,-63.433769127919106,2.518514943446321,0.0748608237233328,110.79878752536979,4.850057918201642,0.07662558771376143,285.0313441786587
2018-11-01,2018,11,0.11776280642037218,0.07330077948454757,-8.792761878456474,2.501134186885416,0.07525291788686124,166.46418736804617,4.88450556735046,0.07720505628917491,341.7211366145488
2018-12-01,2018,12,0.18510547047279147,0.07352353522330936,45.47650628359071,2.6502925604608745,0.07565598339399096,220.92151868244127,5.1154796504489575,0.07778843156467256,396.36653108129184
2019-01-01,2019,1,0.19666573805910437,0.07376677626414468,38.67554779696056,2.727814929302106,0.07606987500616143,217.5570122023155,5.258964120545107,0.07837297374817817,396.4384766076704
2019-02-01,2019,2,0.09427022631276438,0.07403603125170763,-0.11911123021155845,2.6467863351530667,0.07649930622837442,182.0701143747824,5.1993024439933695,0.07896258120504121,364.25933997977637
2019-03-01,2019,3,0.05577186104534748,0.07432466899176625,-16.834685166584507,2.6094448611658487,0.07693593450323143,166.6556808242717,5.16311786128635,0.0795472000146966,350.14604681512793
2019-04-01,2019,4,0.46665123521068663,0.07462152717259012,-21.576252613054493,3.023270200747146,0.07736902550677054,162.5901473616541,5.579889166283605,0.08011652384095096,346.7565473363627
2019-05-01,2019,5,1.124583939379145,0.07492988493265408,-21.6267230522661,3.692369932714275,0.07780168617576945,163.18477287167843,6.260155926049405,0.08067348741888482,347.996268795623
2019-06-01,2019,6,1.631774026058423,0.07525266791442001,-21.65520832497893,4.214691235434579,0.07823772151625158,164.39399347662857,6.797608444810734,0.08122277511808315,350.4431952782361
2019-07-01,2019,7,1.6349220559848896,0.0755885370751078,-42.350665386274784,4.247681978784208,0.07867574836132446,144.69684985999902,6.860441901583528,0.08176295964754111,331.7443651062728
2019-08-01,2019,8,1.156173759746134,0.07593595725726938,-70.27353500992041,3.7962987170669216,0.07911456860287681,117.30540444809776,6.43642367438771,0.08229317994848424,304.88434390611593
2019-09-01,2019,9,0.6030862190816966,0.07629127982784524,-71.01207492786904,3.2513069401446852,0.07955078660920271,117.02304754603392,5.899527661207674,0.08281029339056019,305.0581700199369
2019-10-01,2019,10,0.3179910335074849,0.0766516571721796,-44.64821790348614,2.9729787315425185,0.07998234783702943,143.7080555919174,5.627966429577552,0.08331303850187925,332.06432908732097
2019-11-01,2019,11,0.263810164085557,0.07701744132209387,-9.65141428538871,2.9402543000524446,0.08041025574748852,178.7803189845963,5.616698436019332,0.08380307017288316,367.2120522545813
2019-12-01,2019,12,0.28596760754821426,0.07739057553933881,14.304633147911659,2.991309507345891,0.08083733373471447,203.1653129274673,5.696651407143568,0.08428409193009012,392.02599270702297
