CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16027020,12,12,12,12,12,12,12,12,12,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027030,0,0,0,0,0,11,11,12,12,12,12,12,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027140,0,0,0,0,0,12,12,12,12,12,12,12,11,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16037040,12,12,12,12,12,12,12,12,12,12,9,2,0,1,11,9,12,12,12,9,10,12,12,5,0,11,8,0,0,0
16047020,12,12,12,12,12,9,10,12,4,2,0,0,0,0,12,9,12,12,12,6,3,0,0,0,0,0,0,0,0,0
16057050,12,0,12,12,12,12,12,11,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057060,0,12,12,12,11,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057070,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17027040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21037020,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,11,12,12,12,11,0,12,12,10,12,12,1
21037030,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21047030,12,12,11,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21047040,12,12,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057010,12,12,12,12,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057020,12,12,12,12,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057070,12,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057110,0,0,0,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
21077020,0,0,0,0,0,0,0,12,12,12,11,11,12,12,12,12,12,6,9,12,3,0,0,0,0,0,12,12,11,1
21077030,24,24,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
21087040,12,12,12,12,12,0,0,0,12,12,0,0,0,0,0,0,0,12,0,10,12,12,12,12,11,0,0,0,0,0
21087100,0,0,0,0,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
21107020,12,12,12,12,12,12,12,12,12,12,12,12,12,9,6,9,12,12,9,3,12,12,12,12,0,0,0,8,12,4
21107030,12,12,12,12,12,6,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,0,0,0,0,0,0
21117080,12,12,12,12,12,12,12,12,12,5,0,0,0,0,12,10,12,12,12,12,9,12,11,11,12,0,0,0,0,0
21117110,24,24,24,24,24,24,14,24,16,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
21117130,12,12,1,5,11,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21117140,12,12,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21117160,12,12,12,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21127010,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,11,12,8,10,0,0,11,10,6,9,0
21127020,12,12,12,12,12,12,8,12,12,6,10,12,12,12,12,12,12,12,12,12,12,12,3,0,0,12,12,12,12,5
21137040,12,0,0,12,0,0,0,0,12,12,0,0,0,0,0,5,12,12,12,12,12,12,12,12,9,0,0,0,0,0
21137080,12,12,12,12,12,12,12,12,12,12,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21147050,12,12,12,12,12,12,12,12,12,6,0,0,12,12,12,11,3,11,12,12,12,12,12,12,12,12,12,12,11,2
21167050,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,12,12,11,12,12,12,12,12,12,12,12,12,12,5
21197090,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217140,12,12,12,0,12,12,12,12,9,5,12,12,12,12,11,12,12,12,12,12,5,12,11,0,12,12,12,12,12,0
21217190,12,12,12,12,0,0,0,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217210,0,0,0,12,11,12,0,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217220,24,24,24,24,22,22,22,24,24,24,24,24,24,24,24,24,24,14,0,0,0,0,0,0,22,24,0,0,0,0
21217230,0,0,11,0,0,0,0,10,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217260,12,12,12,12,12,12,12,12,12,12,12,10,0,0,12,12,12,12,12,12,0,0,12,5,0,0,0,0,0,0
21217270,12,12,12,10,11,9,12,12,12,10,3,10,12,12,11,0,0,12,12,12,4,0,0,0,0,0,4,0,0,0
21217280,0,0,12,0,12,10,12,11,12,12,12,12,6,12,12,12,12,12,12,12,3,12,12,12,11,0,0,0,0,0
21217290,0,0,9,3,0,5,12,10,12,9,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21237040,12,12,12,12,12,12,12,12,12,12,9,12,10,12,10,0,0,12,12,12,10,12,12,0,0,0,0,0,0,0
21247040,12,12,0,12,12,12,12,12,12,12,12,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21247050,12,12,12,12,12,12,12,12,12,12,12,12,10,10,9,12,11,10,0,0,0,0,0,0,0,0,0,0,0,0
22047010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,11,12,12,12,12,12,12,12,12,12,12,12,1
22057050,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,20,24,6,10,18,24,24,16,0
22057080,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22067010,12,12,12,0,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
22067020,12,12,9,7,12,8,12,12,12,11,1,11,9,12,12,12,7,11,10,12,12,5,12,12,12,0,0,0,0,0
23017020,12,12,12,12,12,12,12,12,12,12,10,12,11,12,12,12,12,12,12,12,12,12,12,12,12,6,0,0,0,0
23017030,12,12,12,12,10,11,12,12,11,11,12,12,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23017060,12,12,12,12,12,11,12,12,12,12,7,10,9,8,12,10,9,12,12,12,12,12,12,12,12,12,11,0,6,5
23017080,0,0,12,12,12,10,12,12,12,12,11,12,10,11,12,11,12,9,12,12,12,12,12,12,12,2,7,1,12,2
23067070,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,7,11,12,12,6,10,10,0,0,5,11,5
23087190,24,24,24,24,24,24,24,24,24,16,16,24,8,18,24,24,22,24,24,24,24,22,24,20,24,22,24,24,20,10
23087300,0,0,0,24,24,24,22,24,24,24,24,24,22,24,22,24,22,24,22,14,24,0,0,0,0,0,0,0,0,0
23107040,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,24,24,24,24,24,24,24,24,22,0,24,14,24,10
23127050,24,24,24,24,24,24,22,24,24,24,2,0,12,0,0,8,0,6,6,10,20,0,2,20,24,0,24,24,24,10
23127060,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,24,24,24,24,24,16,24,24,8,22,24,24,24,4
23147040,0,3,12,12,8,12,12,12,12,12,11,11,9,9,12,12,12,12,12,12,12,0,6,9,2,5,0,12,12,3
23157080,12,12,12,12,0,12,9,9,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23167010,0,12,0,12,10,0,0,7,12,12,12,12,12,12,9,12,10,12,11,10,5,4,7,6,7,11,12,12,12,5
23177050,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23177060,0,6,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187020,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187040,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187140,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187240,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187250,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187280,24,24,24,24,24,24,22,24,18,24,20,18,16,24,24,24,24,22,24,22,20,14,14,24,24,24,24,24,24,10
23187290,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23187300,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23197270,0,0,0,0,0,10,12,12,0,12,12,0,11,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,0
23197280,0,0,0,11,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23197370,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,11,10,5
23197410,24,24,24,20,24,22,22,14,0,18,16,24,24,12,18,24,24,24,24,24,24,20,22,24,24,24,24,24,24,2
23197430,12,12,12,12,11,12,10,11,12,12,12,12,12,9,12,12,12,12,12,12,12,1,0,0,2,0,0,0,0,0
23197460,12,12,7,12,12,12,11,12,12,12,12,12,12,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23197680,0,0,12,12,12,12,12,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23207010,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23207050,0,0,12,12,10,0,0,9,12,12,9,12,12,12,10,12,10,12,12,10,12,8,3,7,12,11,12,12,11,5
23207060,12,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23207070,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23217030,12,12,12,12,8,0,0,8,11,9,4,4,10,7,9,8,11,12,12,8,12,11,11,9,7,0,11,11,9,4
23217050,12,9,5,12,12,12,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23217070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,12,12,1
24017150,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,11,12,12,0,0,12,12,1
24017570,12,12,12,12,12,12,12,12,10,12,12,12,9,9,12,12,12,11,12,12,12,12,11,12,0,12,12,12,12,0
24017580,12,12,12,12,12,12,12,0,10,12,12,12,12,12,8,0,0,12,12,12,9,8,8,10,0,12,12,12,12,2
24017620,12,0,0,0,10,0,0,0,12,12,7,11,12,12,12,12,11,12,10,12,0,0,10,11,11,0,0,0,0,0
24017670,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24017720,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24017730,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24017820,12,12,12,12,11,12,10,12,10,11,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0
24017830,12,9,9,12,12,12,12,12,12,12,12,12,9,7,12,12,11,12,12,12,3,0,0,0,0,0,12,12,11,1
24017900,0,9,12,12,11,12,6,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,0,11,12,11,0
24027010,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,11,12,12,12,12,12,11,12,12,12,12,0
24027030,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,9,12,0,12,12,12,11,3
24027050,24,24,24,24,22,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,12,12,0,24,24,2
24037010,0,12,12,12,12,12,12,12,0,11,8,12,10,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24037020,0,0,0,12,12,12,12,12,12,12,12,11,11,12,12,12,12,11,12,4,12,12,12,12,12,0,12,12,11,2
24037040,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,16,22,24,24,20,0,18,24,22,20,18,24,24,24,10
24037070,12,12,12,12,11,12,12,12,12,12,12,12,9,12,12,12,12,12,12,12,0,0,12,12,12,0,12,12,12,1
24037080,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,12,12,0,0
24037090,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,0,0,8,11,12,0,0,0,0,0
24037100,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,6,0
24037110,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,12,12,12,12,0,0,12,12,12,0
24037120,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,0,0,0,0,12,12,11,0
24037180,0,0,0,0,12,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24037250,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24037270,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,5,0,12,0,11,12,12,3
24037280,0,0,0,0,0,12,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24037300,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,10,6,12,12,0,12,12,12,0
24037360,11,12,12,12,12,12,12,12,12,12,12,12,10,12,11,12,12,12,12,12,12,12,1,7,0,12,12,12,12,0
24037380,24,24,24,24,24,24,24,10,2,0,24,12,0,0,8,24,24,24,24,22,24,6,0,0,0,0,24,10,0,0
24037390,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,0,0,0,0,0
24037410,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,0
24037430,12,12,12,12,12,12,12,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24037450,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,2,11,9,0,0,11,12,12,2
24037460,24,24,24,24,24,24,24,20,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
