basin,mean,stdev,AIC,BIC,RMSE,MAPE,sMAPE,p
3,147.23833333333334,67.18305848368487,-4.71456121990172,-4.71456121990172,34.31602440659709,16.865299177523017,7.6935090354734355,11
4,4.406666666666667,1.450835008614771,-8.04311251094153,-8.04311251094153,1.5757586605665017,39.15155849745892,16.530123295270414,5
5,59.39499999999999,19.53661498315407,-7.017608954637541,-7.017608954637541,19.92512968876115,23.301679764313945,12.63022095354844,4
6,27.300833333333333,16.374301745078743,-7.06937777107345,-7.06937777107345,13.247579358119564,25.544804091188695,13.257793723600567,7
7,224.85119791667535,88.88077710378218,-2.811788450492547,-2.811788450492547,58.311998493972254,23.513794677717208,11.183198687719338,12
8,43.36368489582323,17.011324882712035,-7.373356349514876,-7.373356349514876,9.601369377810725,19.990775413075053,8.26897896053783,12
9,12.935382812499286,11.323009476761907,-12.423358037135932,-12.423358037135932,8.738487042265225,127.03409089571242,35.993355290217146,11
10,12.231319444444447,7.840552724738946,-6.345189711999975,-6.345189711999975,5.726954068954587,51.266702582958054,18.482049714369307,11
11,15.23682923428825,7.862568979251368,-10.009390919571572,-10.009390919571572,5.78273977311914,42.67829344030052,17.13074943640986,11
12,20.636666666666667,19.12207726396086,-10.381659012632937,-10.381659012632937,21.239728156992562,265.5689688496976,47.137037371615016,10
13,242.083789062418,90.65982168782715,-1.29273341086207,-1.29273341086207,85.78013538554691,47.152358983838475,15.598625110556114,11
14,73.81591840277311,32.90271151942799,-7.475084162528363,-7.475084162528363,28.147015076379223,28.296825379556275,13.60788229752008,11
15,61.3516419270727,33.31909263313711,-1.7555251314964393,-1.7555251314964393,27.8537706413183,43.329437600340405,16.48527733186812,11
16,351.190847656266,72.17737988349388,-0.19499472063737877,-0.19499472063737877,202.43611372163562,45.505927163758784,16.49356567076289,11
17,12.320502604163117,3.791520949716699,-10.46291649714504,-10.46291649714504,2.2671944321094406,14.093905815645755,7.209448907997901,9
18,53.52025911690433,13.018436798854802,-3.588945648544188,-3.588945648544188,12.666243401556581,19.491379442153566,8.432874640831956,11
19,6.156359157987197,4.701809400112008,-10.260487283827594,-10.260487283827594,3.6066223112145646,59.6933061018631,28.383778843322617,5
20,60.711917968750775,11.064523988958312,-4.164620912329925,-4.164620912329925,54.139256974076424,70.03698198251578,27.18653536389813,11
21,8.969166666666665,2.0981239967064758,-8.471575432151647,-8.471575432151647,1.3956958948110476,14.22464833250853,6.7230326009513215,11
22,198.16465234371637,147.98312256179688,-2.9690041937423697,-2.9690041937423697,81.12279337218712,76.32444701257565,29.81435274493792,11
23,137.4375,93.06978968539325,-4.032357657550817,-4.032357657550817,69.03438545853965,97.55663071919986,25.81852030209209,11
24,14.660367239035617,4.072215554698819,-4.4732288617127605,-4.4732288617127605,11.342346301048098,72.96884610302847,25.144441586451023,11
25,7.566666666666666,3.0622359296580806,-7.946742828307324,-7.946742828307324,3.220406147287983,42.61980102525391,16.92152511305037,6
26,43.84416666666667,29.975277162558854,-1.0886574185439077,-1.0886574185439077,498.4224168535373,1782.769396787354,84.20785632250355,12
27,8.43,3.567870513345461,-5.098054903703742,-5.098054903703742,16.07708460407367,197.83376300781475,43.45667617580116,11
28,69.69840538194116,41.34460971824672,-2.393089297353775,-2.393089297353775,21.68380892252422,27.518534061533877,13.004118038524862,11
29,59.18083333333334,3.721398613275511,-5.596058438987695,-5.596058438987695,4.334055723192044,6.321395638635003,3.1652458529809127,6
30,8.373260076992759,6.461992188501235,-7.089745854444785,-7.089745854444785,3.44625633345837,51.03090725785374,22.24834645761812,12
31,7.743819444444529,1.582522818053581,-9.425065334627623,-9.425065334627623,1.1863648156241728,13.36754258552729,6.822215066045446,12
32,33.953333333333326,12.437392098917773,-8.052384337033716,-8.052384337033716,11.323138497258336,33.56408406271663,14.736182272047268,11
33,4.2908333333333335,1.7839864458254409,-10.151719812635,-10.151719812635,0.507696017986183,8.199284988004663,3.9889263600947187,12
34,378.2174913194444,162.34624817329865,-3.580525832909119,-3.580525832909119,100.1085004859299,22.175738546822085,13.750005930874684,12
35,417.5755106872295,99.64270342542211,-1.469201147015186,-1.469201147015186,71.28834841897178,13.069240405762692,6.8977662355514155,11
36,141.69687499999625,111.46037364454756,-2.365853861882096,-2.365853861882096,67.43510032488234,73.0337996994108,31.428557067253355,11
37,98.87328802082982,68.74639103308026,-3.3558079294176535,-3.3558079294176535,62.35710070234442,78.809835396327,38.57793089463298,12
