MC,date,year,month,flow,model_type,climate_change_scenario,loss_cover_scenario
5,2020-03,2020,3,45.058828856988775,VAR,1,0
5,2020-04,2020,4,52.75169463595371,VAR,1,0
5,2020-05,2020,5,52.643603278261004,VAR,1,0
5,2020-06,2020,6,52.767618846773956,VAR,1,0
5,2020-07,2020,7,51.427672995386374,VAR,1,0
5,2020-08,2020,8,49.26093537232122,VAR,1,0
5,2020-09,2020,9,48.998355509281765,VAR,1,0
5,2020-10,2020,10,50.40536165542302,VAR,1,0
5,2020-11,2020,11,50.71924506794179,VAR,1,0
5,2020-12,2020,12,50.79701161574653,VAR,1,0
5,2021-01,2021,1,49.9237252907815,VAR,1,0
5,2021-02,2021,2,49.155962801747116,VAR,1,0
5,2021-03,2021,3,49.092391260851024,VAR,1,0
5,2021-04,2021,4,49.29077709023827,VAR,1,0
5,2021-05,2021,5,49.41523256289198,VAR,1,0
5,2021-06,2021,6,49.29173498669614,VAR,1,0
5,2021-07,2021,7,48.861685372825136,VAR,1,0
5,2021-08,2021,8,48.522751893481896,VAR,1,0
5,2021-09,2021,9,48.37421394553489,VAR,1,0
5,2021-10,2021,10,48.334616301513755,VAR,1,0
5,2021-11,2021,11,48.28243926551888,VAR,1,0
5,2021-12,2021,12,48.11598072326829,VAR,1,0
6,2020-01,2020,1,15.798831876146087,VAR,1,0
6,2020-02,2020,2,11.860898690261777,VAR,1,0
6,2020-03,2020,3,16.426688184782527,VAR,1,0
6,2020-04,2020,4,21.07632476582489,VAR,1,0
6,2020-05,2020,5,22.86319378798984,VAR,1,0
6,2020-06,2020,6,24.96340200616561,VAR,1,0
6,2020-07,2020,7,26.0018828738968,VAR,1,0
6,2020-08,2020,8,25.742329880421266,VAR,1,0
6,2020-09,2020,9,26.45284839103327,VAR,1,0
6,2020-10,2020,10,23.856748515691518,VAR,1,0
6,2020-11,2020,11,22.05088469306467,VAR,1,0
6,2020-12,2020,12,20.2801972172527,VAR,1,0
6,2021-01,2021,1,18.767908953513558,VAR,1,0
6,2021-02,2021,2,19.11518620347805,VAR,1,0
6,2021-03,2021,3,19.85019568460549,VAR,1,0
6,2021-04,2021,4,20.611945629762193,VAR,1,0
6,2021-05,2021,5,21.491231192812858,VAR,1,0
6,2021-06,2021,6,21.592730176271587,VAR,1,0
6,2021-07,2021,7,21.702732522389255,VAR,1,0
6,2021-08,2021,8,21.730103640004245,VAR,1,0
6,2021-09,2021,9,21.40496793637285,VAR,1,0
6,2021-10,2021,10,21.05388066627568,VAR,1,0
6,2021-11,2021,11,20.502897320547234,VAR,1,0
6,2021-12,2021,12,20.0217857848737,VAR,1,0
7,2020-01,2020,1,207.6197601686239,VAR,1,0
7,2020-02,2020,2,181.6257109736306,VAR,1,0
7,2020-03,2020,3,257.13734099010003,VAR,1,0
7,2020-04,2020,4,281.6709165798682,VAR,1,0
7,2020-05,2020,5,302.3810072639252,VAR,1,0
7,2020-06,2020,6,298.70318175907795,VAR,1,0
7,2020-07,2020,7,263.24057963477054,VAR,1,0
7,2020-08,2020,8,226.76096042275475,VAR,1,0
7,2020-09,2020,9,222.42295364562008,VAR,1,0
7,2020-10,2020,10,225.17587100694956,VAR,1,0
7,2020-11,2020,11,256.43827044897137,VAR,1,0
7,2020-12,2020,12,228.43082994224758,VAR,1,0
7,2021-01,2021,1,219.79852463053874,VAR,1,0
7,2021-02,2021,2,218.4105049948272,VAR,1,0
7,2021-03,2021,3,246.17746126316086,VAR,1,0
7,2021-04,2021,4,290.0277114556988,VAR,1,0
7,2021-05,2021,5,305.43533148660487,VAR,1,0
7,2021-06,2021,6,301.0443292733824,VAR,1,0
7,2021-07,2021,7,280.43213625875103,VAR,1,0
7,2021-08,2021,8,243.70743122921292,VAR,1,0
7,2021-09,2021,9,242.85246661231625,VAR,1,0
7,2021-10,2021,10,247.6484177976017,VAR,1,0
7,2021-11,2021,11,261.32191233436885,VAR,1,0
7,2021-12,2021,12,251.97417233135033,VAR,1,0
8,2020-01,2020,1,21.029230877979156,VAR,1,0
8,2020-02,2020,2,22.375656967248613,VAR,1,0
8,2020-03,2020,3,36.88859243881683,VAR,1,0
8,2020-04,2020,4,44.95452379291532,VAR,1,0
8,2020-05,2020,5,60.31725332992193,VAR,1,0
8,2020-06,2020,6,56.730984334078464,VAR,1,0
8,2020-07,2020,7,49.796880890900965,VAR,1,0
8,2020-08,2020,8,44.866226495490004,VAR,1,0
8,2020-09,2020,9,46.618327288157,VAR,1,0
8,2020-10,2020,10,50.165484230152046,VAR,1,0
8,2020-11,2020,11,53.19603144760493,VAR,1,0
8,2020-12,2020,12,48.925569199421815,VAR,1,0
8,2021-01,2021,1,39.51661144184743,VAR,1,0
8,2021-02,2021,2,39.29721579000828,VAR,1,0
8,2021-03,2021,3,44.439158575258396,VAR,1,0
8,2021-04,2021,4,52.17808693930894,VAR,1,0
8,2021-05,2021,5,61.90107327285353,VAR,1,0
8,2021-06,2021,6,61.933474421106645,VAR,1,0
8,2021-07,2021,7,56.60681898167111,VAR,1,0
8,2021-08,2021,8,51.19371631974565,VAR,1,0
8,2021-09,2021,9,51.609013726825026,VAR,1,0
8,2021-10,2021,10,53.94487266417904,VAR,1,0
8,2021-11,2021,11,55.79576919424332,VAR,1,0
8,2021-12,2021,12,53.284205985907256,VAR,1,0
9,2020-01,2020,1,2.3575538472593163,VAR,1,0
9,2020-02,2020,2,-0.2073328316148664,VAR,1,0
9,2020-03,2020,3,9.524453682642804,VAR,1,0
9,2020-04,2020,4,11.346085542904456,VAR,1,0
9,2020-05,2020,5,20.07250563930955,VAR,1,0
9,2020-06,2020,6,29.265632609111513,VAR,1,0
9,2020-07,2020,7,29.453743017732968,VAR,1,0
9,2020-08,2020,8,20.66877465270036,VAR,1,0
9,2020-09,2020,9,15.774383257846816,VAR,1,0
9,2020-10,2020,10,11.658435903855882,VAR,1,0
9,2020-11,2020,11,7.034649535133696,VAR,1,0
9,2020-12,2020,12,2.1374787735453182,VAR,1,0
9,2021-01,2021,1,1.1296398351750216,VAR,1,0
9,2021-02,2021,2,3.154624437974653,VAR,1,0
9,2021-03,2021,3,8.80659095971683,VAR,1,0
9,2021-04,2021,4,14.112805378969908,VAR,1,0
9,2021-05,2021,5,21.351072521183696,VAR,1,0
9,2021-06,2021,6,26.761561312293352,VAR,1,0
9,2021-07,2021,7,26.153835781021005,VAR,1,0
9,2021-08,2021,8,21.14391197656653,VAR,1,0
9,2021-09,2021,9,16.152847021262687,VAR,1,0
9,2021-10,2021,10,11.193453059460245,VAR,1,0
9,2021-11,2021,11,6.349004328064687,VAR,1,0
9,2021-12,2021,12,3.0841040069230083,VAR,1,0
10,2020-01,2020,1,17.361151384231032,VAR,1,0
10,2020-02,2020,2,14.32834590523684,VAR,1,0
10,2020-03,2020,3,16.107422030507387,VAR,1,0
10,2020-04,2020,4,13.644064744800279,VAR,1,0
10,2020-05,2020,5,13.35623100661426,VAR,1,0
10,2020-06,2020,6,11.534049728223188,VAR,1,0
10,2020-07,2020,7,5.670842612133063,VAR,1,0
10,2020-08,2020,8,2.636587832925569,VAR,1,0
10,2020-09,2020,9,3.656919556671799,VAR,1,0
10,2020-10,2020,10,6.734265470927669,VAR,1,0
10,2020-11,2020,11,11.518995345720706,VAR,1,0
10,2020-12,2020,12,14.842003507589755,VAR,1,0
10,2021-01,2021,1,12.80823956840676,VAR,1,0
10,2021-02,2021,2,10.634873261580392,VAR,1,0
10,2021-03,2021,3,10.468213729644708,VAR,1,0
10,2021-04,2021,4,10.50010701711122,VAR,1,0
10,2021-05,2021,5,10.191185775440117,VAR,1,0
10,2021-06,2021,6,8.81389895974056,VAR,1,0
10,2021-07,2021,7,5.22705730457503,VAR,1,0
10,2021-08,2021,8,2.061957272897356,VAR,1,0
10,2021-09,2021,9,2.3525632681256936,VAR,1,0
10,2021-10,2021,10,5.346555432866478,VAR,1,0
10,2021-11,2021,11,9.309555738034383,VAR,1,0
10,2021-12,2021,12,11.65604274876149,VAR,1,0
11,2020-01,2020,1,18.066266031879238,VAR,1,0
11,2020-02,2020,2,10.870337431777127,VAR,1,0
11,2020-03,2020,3,10.725943903570244,VAR,1,0
11,2020-04,2020,4,15.7038518535134,VAR,1,0
11,2020-05,2020,5,18.836907732706138,VAR,1,0
11,2020-06,2020,6,19.045509885327373,VAR,1,0
11,2020-07,2020,7,15.17567417443501,VAR,1,0
11,2020-08,2020,8,13.792835921404741,VAR,1,0
11,2020-09,2020,9,13.231651386096651,VAR,1,0
11,2020-10,2020,10,15.248997682681155,VAR,1,0
11,2020-11,2020,11,17.467262880077733,VAR,1,0
11,2020-12,2020,12,17.295213186110562,VAR,1,0
11,2021-01,2021,1,15.984746001458213,VAR,1,0
11,2021-02,2021,2,14.632982637348215,VAR,1,0
11,2021-03,2021,3,14.530878020060074,VAR,1,0
11,2021-04,2021,4,15.490492496790605,VAR,1,0
11,2021-05,2021,5,16.48613165737761,VAR,1,0
11,2021-06,2021,6,16.66544419873969,VAR,1,0
11,2021-07,2021,7,15.967404741673816,VAR,1,0
11,2021-08,2021,8,15.286592775437224,VAR,1,0
11,2021-09,2021,9,15.153981377745044,VAR,1,0
11,2021-10,2021,10,15.601100072221065,VAR,1,0
11,2021-11,2021,11,16.125576421629972,VAR,1,0
11,2021-12,2021,12,16.246033832006518,VAR,1,0
11,2020-01,2020,1,10.711229618315741,VAR,1,25
11,2020-02,2020,2,7.985603706893464,VAR,1,25
11,2020-03,2020,3,11.398834040910327,VAR,1,25
11,2020-04,2020,4,15.141509979453346,VAR,1,25
11,2020-05,2020,5,17.986751283143214,VAR,1,25
11,2020-06,2020,6,16.159004453860412,VAR,1,25
11,2020-07,2020,7,14.050321661622588,VAR,1,25
11,2020-08,2020,8,12.527366414748506,VAR,1,25
11,2020-09,2020,9,13.63662824606857,VAR,1,25
11,2020-10,2020,10,15.86910672532925,VAR,1,25
11,2020-11,2020,11,16.515898378159598,VAR,1,25
11,2020-12,2020,12,14.178736456270414,VAR,1,25
11,2021-01,2021,1,11.556327573668316,VAR,1,25
11,2021-02,2021,2,10.217946250394007,VAR,1,25
11,2021-03,2021,3,11.719248753712266,VAR,1,25
11,2021-04,2021,4,14.649638345998644,VAR,1,25
11,2021-05,2021,5,15.86214199556072,VAR,1,25
11,2021-06,2021,6,14.705766490776401,VAR,1,25
11,2021-07,2021,7,12.662649338707366,VAR,1,25
11,2021-08,2021,8,11.589980742005078,VAR,1,25
11,2021-09,2021,9,12.959351355741903,VAR,1,25
11,2021-10,2021,10,14.99675214557983,VAR,1,25
11,2021-11,2021,11,15.548867367504714,VAR,1,25
11,2021-12,2021,12,14.027285867063231,VAR,1,25
13,2020-01,2020,1,291.49638077112274,VAR,1,0
13,2020-02,2020,2,274.59416028619097,VAR,1,0
