mc,Bias,MAE,MSE,RMSE
1,-0.4000461144537595,0.4294786697171011,0.2766005234987717,0.5259282493827192
2,-0.13178000755831257,8.29757541237087,97.96271187361361,9.897611422642012
3,-17.626667322798493,36.59096018464318,2057.2284499192974,45.35668032296122
4,-1.9411873775980826,3.081849391329022,13.191383802735837,3.6319944662314447
5,-3.5852015134752704,14.065628811993525,258.6195693140907,16.081653189709407
6,8.996532802706355,11.976645245036677,301.50081024758805,17.363778685746603
7,-4.856245814197872,57.039612329931906,4094.7079594540264,63.989905137091945
8,6.862289374831344,11.653304068653066,218.6540165126536,14.786954267618928
9,1.7176563081960552,5.288749949108467,52.13388938389439,7.220380141231789
10,2.712604645653741,5.44243654654795,60.619819516255376,7.785873073474508
11,-1.7608723253622796,5.880012334695799,62.44405807614129,7.902155280437185
12,7.984894967823831,11.870439504647885,257.576139902648,16.049178792157807
13,-95.43373721588499,115.03679629394664,19322.08758647399,139.0039121265081
14,10.785766838699942,23.57750027159617,1122.2818627014228,33.50047555933233
15,2.36974199837343,22.035369239929754,667.2939740420405,25.83203387350753
16,-38.41717163107679,98.3142350682773,15078.388718627857,122.79409073171175
17,1.957151971503757,2.3294687111280723,8.834615827542445,2.9723081649691783
18,-3.821328376792732,9.470870619908554,142.91900084753243,11.954873518675655
19,-1.8575825136981479,5.91007178198701,52.73199245902442,7.2616797271033935
20,-2.4683711651384397,32.747949267884145,2074.30790885762,45.544570574961185
21,0.08662517634816409,1.698297538340656,4.133155627554675,2.033016386445194
22,7.893977208722206,68.2364667657762,7094.506503650099,84.22889352027663
23,1.1316394939331627,60.82212762963212,5897.216055361011,76.7933334044109
24,3.9030926583098307,6.447630338275708,167.38481327478334,12.937728288798747
25,0.9560089008602296,2.1748294475639622,8.85781921510771,2.9762088661765174
26,43.73777246910891,81.19672169183538,40526.021595281134,201.3107587668407
27,-3.328104454485656,9.81730759276501,192.5594080130744,13.876577676540942
28,4.214552465558241,18.38170526718078,717.3704728685833,26.783772566025558
29,-3.210589518188255,4.217612310210677,27.647127419012325,5.258053577038972
30,-2.877623124799538,6.03700213406471,67.19308681247209,8.19713894065924
31,-2.2300968149912257,2.44048279508201,7.78671401055644,2.7904684213508744
32,-6.9010401071240866,8.634337793630113,117.1956936407784,10.825695988747254
33,-0.782213248325084,1.2799198272860854,2.0479508967763187,1.4310663495367077
34,10.381916974254507,110.12071267398575,18529.23761358001,136.12214226047138
35,109.33622713294517,123.57660622715657,20218.329758359483,142.19117327865146
36,16.065913958383206,68.61309602860706,8588.746762541296,92.67549170380104
37,-8.86316607915321,50.65796672317449,3583.042678264455,59.858522185771136
38,-8.148383320225783,15.85083157957357,359.5251715440574,18.96114900379345
39,195.56237852227275,267.5145928145492,128382.4120442461,358.3049149038373
40,303.15528951342714,498.5703800747977,413565.2105596398,643.0903595604896
41,443.30731292864135,1092.6578158471514,2103237.1971796867,1450.2541836449523
42,223.63749171179907,451.49206521410366,324916.4752793685,570.0144518162399
43,154.9177437409852,285.9429183983047,123718.18372161612,351.7359573907907
44,95.40609629065409,503.3882433957712,401379.4094629529,633.5451124134357
45,169.47844249439666,398.7464560545559,374644.33594372007,612.0819683210085
46,53.45176665922372,984.3652966523713,1445291.4364953449,1202.2027435068283
47,642.7718767981911,1194.0301599857823,2810944.2833367907,1676.587093871592
48,960.1800424143272,1263.4789554153856,2609303.7693270906,1615.3339497847157
