N,CUENCA,CUENCA_IDEAM,Q_TIPO,Q_EST,Q_X,Q_Y,P_EST,P_X,P_Y,P_Influencia,TMN_EST,TMX_EST
53,35,262,QMED,47017160,-76.57694444,0.8269444,47010050,-76.93025,1.13405556,0.2939056275,47015040,47015040
54,35,262,QMED,47017160,-76.57694444,0.8269444,47010030,-76.48022222,0.47361111,0.3755737076,47015040,47015040
55,36,295,QMED,32077070,-73.68,2.7,32070040,-73.63,2.98,0.5088168705,,
56,36,295,QMED,32077070,-73.68,2.7,32070100,-73.89194444,3.37508333,0.2045338559,,
57,36,295,QMED,32077070,-73.68,2.7,32070010,-73.75,3.2,0.2866492736,,
58,37,299,QMAX,23067040,-74.63175,5.5922222,23060260,-74.38202778,5.06463889,0.321579077,,
59,37,299,QMAX,23067040,-74.63175,5.5922222,23060180,-74.2945,5.25344444,0.3926689952,,
60,37,299,QMAX,23067040,-74.63175,5.5922222,23060290,-74.41205556,4.97316667,0.2857519278,,
61,38,303,QMAX,52057050,-77.48227778,1.83,52050040,-77.47919444,1.32225,0.4879873693,52055030,
62,38,303,QMAX,52057050,-77.48227778,1.83,52050140,-77.52611111,1.34805556,0.5120126307,52055030,
