COD;CAT;ELEV;CUENCA;X;Y
21207390;LM;2976;47;-73,96666667;5,13333333
21207400;LM;266;47;-74,25;4,53333333
21207420;LG;2541;47;-74,07458333;4,83219444
21207430;LM;2630;47;-73,73333333;5,08333333
21207440;LM;267;47;-73,73333333;5,08333333
21207450;LM;2976;47;-73,96666667;5,13333333
21207460;LM;32;47;-74,16666667;4,36666667
21207470;LG;315;47;-74,16666667;4,36666667
21207490;LM;27;47;-74,21666667;4,55
21207500;LM;2642;47;-74,11666667;4,5
21207510;LG;266;47;-73,85;4,86666667
21207520;LM;2541;47;-74,3;4,71666667
21207530;LM;257;47;-73,98333333;5
21207540;LM;2561;47;-73,81666667;5,06666667
21207550;LM;2952;47;-74,18333333;4,5
21207560;LM;2560;47;-74,33333333;4,8
21207570;LM;2585;47;-74,18333333;4,85
21207580;LM;2585;47;-74,18333333;4,86666667
21207590;LM;3104;47;-74,16666667;4,38333333
21207600;LM;2654;47;-74,25;4,53333333
21207610;LM;2641;47;-74,06666667;4,66666667
21207640;LM;262;47;-73,73333333;5,1
21207650;LM;256;47;-73,81666667;5,03333333
21207660;LG;2702;47;-74,13333333;5
21207670;LG;2544;47;-73,85;5,03333333
21207680;LG;2548;47;-73,96666667;5
21207690;LM;2646;47;-74,2;4,3
21207780;LM;2652;47;-74;4,95
21207820;LM;2567;47;-73,81666667;5,03333333
21207830;LM;2976;47;-73,96666667;5,13333333
21207840;LM;2588;47;-73,86666667;5,13333333
21207850;LM;258;47;-73,91666667;5,05
21207860;LM;2599;47;-74,15;4,95
21207870;LM;268;47;-74,06666667;4,98333333
21207880;LM;2552;47;-73,96666667;4,88333333
21207920;LG;2548;47;-73,91666667;4,96666667
21207930;LG;2548;47;-73,96666667;4,98333333
21207950;LM;2636;47;-74,35;4,83333333
21207960;LG;361;47;-74,60852778;4,45486111
21207970;LM;2814;47;-74,23333333;4,5
21207980;LM;268;47;-73,9;4,85
21207990;LM;2652;47;-73,88333333;4,85
21208000;LM;261;47;-74,16666667;4,91666667
21208020;LG;2536;47;-74,21666667;4,63333333
21208030;LM;2571;47;-74,13333333;4,66666667
21208040;LM;259;47;-74,11666667;4,71666667
21208050;LM;2585;47;-74,26666667;4,76666667
21208060;LG;2572;47;-74,23333333;4,58333333
21208070;LM;257;47;-74,16666667;4,66666667
21208080;LG;0;150;-74;4
21208090;LM;262;47;-74,26666667;4,68333333
21208100;LM;265;47;-74,13333333;4,73333333
21208110;LG;2571;47;-74,08333333;4,8
21208120;LM;26;47;-74;5
21208150;LM;2705;47;-73,6;5,21666667
21208160;LM;2575;47;-73,75;5,1
21208200;LM;262;47;-74,28333333;4,56666667
21208210;LM;2567;47;-73,81666667;5,03333333
21208220;LM;2585;47;-74,15;4,66666667
21208240;LG;257;47;-74,76666667;4,31666667
21208280;LM;510;47;-74,6;4,51666667
21208290;LM;2549;47;-74,25;4,51666667
21208360;LG;263;47;-74,15;4,56666667
21208400;LM;2615;47;-74,35;4,6
21208440;LM;2571;47;-74,06666667;4,66666667
21208450;LM;2569;47;-74,21666667;4,81666667
21208460;LM;2564;47;-73,7;5,1
21208470;LM;2549;47;-74,06666667;4,86666667
21208480;LM;254;47;-74,15;4,63333333
21208490;LG;287;47;-73,93333333;4,71666667
21208500;LM;2539;47;-74,16666667;4,71666667
21208510;LG;267;47;-73,71666667;5,08333333
21208520;LG;2976;47;-73,96666667;5,13333333
21208530;LM;3;47;-74,1;5,03333333
21208540;LM;258;47;-74,21666667;4,81666667
21208550;LM;2577;47;-74,23333333;4,81666667
21208560;LM;2557;47;-74,25;4,75
21208570;LM;2556;47;-74,25;4,75
21208580;LM;246;47;-74,13333333;4,5
21208590;LG;35;47;-74,16666667;4,38333333
21208600;LM;26;47;-74,38333333;4,83333333
21208610;LM;2540;47;-74,25;4,68333333
21208620;LM;257;47;-74,36666667;4,81666667
21208630;LM;259;47;-73,76666667;5,05
21208640;LM;315;47;-73,98333333;5,15
21208650;LM;31;129;-72,95;5,16666667
21208660;LM;248;47;-74,11666667;4,76666667
21208680;LM;27;47;-73,71666667;5,05
21208690;LM;299;47;-73,95;5,18333333
21208700;LG;265;47;-73,73333333;5,03333333
21208710;LM;2488;47;-74,23333333;4,75
21208720;LM;2718;47;-73,96666667;4,71666667
21208730;LM;275;47;-73,96666667;4,68333333
21208740;LG;265;47;-73,83333333;5,13333333
21208750;LG;26;47;-73,88333333;5,11666667
21208760;LG;275;47;-73,83333333;5,15
21208770;LM;268;47;-73,95;5
21208780;LG;258;145;-73,73333333;4,85
21208790;LG;257;47;-74,16666667;4,9
21208800;LM;750;47;-74,4;4,81666667
21208810;LM;400;47;-74,58333333;4,56666667
21208820;LM;390;47;-74,58333333;4,43333333
21208830;LM;650;47;-74,53333333;4,43333333
21208840;LM;450;47;-74,58333333;4,4
21208850;LM;980;47;-74,48333333;4,7
21208860;LM;2;47;-74,41666667;4,51666667
21208870;LM;500;47;-74,56666667;4,48333333
21208880;LM;520;47;-74,53333333;4,46666667
21208890;LM;610;47;-74,5;4,46666667
21208900;LM;490;47;-74,65;4,47
21208910;LM;380;47;-74,68333333;4,41666667
21208920;LM;770;47;-74,51666667;4,68333333
21208930;LM;117;47;-74,48333333;4,4
21208940;LM;600;47;-74,5;4,48333333
21208950;LM;1120;47;-74,63333333;4,46666667
21208960;LM;600;47;-74,51666667;4,45
21208970;LM;13;47;-74,45;4,48333333
21208980;LM;2;47;-74,4;4,68333333
21208990;LM;117;47;-74,48333333;4,4
21209000;LM;600;47;-74,51666667;4,43333333
21209010;LM;151;47;-74,43333333;4,5
21209020;LM;370;47;-74,75;4,4
21209030;LM;950;47;-74,48333333;4,45
21209040;LM;2585;47;-74,15;4,58333333
21209050;LM;2583;47;-74,15;4,58333333
21209060;LM;2581;47;-74,16666667;4,6
21209070;LM;2677;47;-74,05;4,7
21209080;LM;2670;47;-74,06666667;4,68333333
21209090;LM;2676;47;-74,05;4,66666667
21209100;LM;268;47;-74,11666667;4,61666667
21209110;LM;2694;47;-74,1;4,58333333
21209120;LG;269;47;-74,4;4,85
21209130;LG;284;89;-73,91666667;5,25
21209140;LM;690;47;-74,51666667;4,53333333
21209150;LM;25;47;-74,3;4,56666667
21209160;LM;125;47;-74,43333333;4,68333333
21209170;LM;26;47;-73,66666667;5,15
21209180;LG;265;47;-74;5,15
21209190;LM;2548;47;-74,21666667;4,71666667
21209200;LG;425;47;-74,79377778;4,30488889
21209210;LM;275;47;-74,1;4,95
21209220;LM;26;47;-74,1;4,93333333
21209230;LM;2596;47;-74,1;4,91666667
21209240;LM;2593;47;-74,1;4,91666667
21209250;LM;2595;47;-74,08333333;4,96666667
21209260;LM;2595;47;-74,36666667;4,83333333
21209270;LM;2595;47;-74,36666667;4,81666667
21209280;LM;1825;47;-74,4;4,53333333
21209290;LM;948;47;-74,48333333;4,53333333
21209300;LM;179;47;-74,4;4,71666667
21209310;LM;1149;47;-74,43333333;4,68333333
21209320;LM;1149;47;-74,48333333;4,4
21209330;LM;2529;47;-74,36666667;4,76666667
21209340;LM;2470;47;-74,36666667;4,75
21209350;LM;262;47;-73,98333333;5,05
21209360;LM;281;47;-73,81666667;4,91666667
21209370;LM;281;47;-73,81666667;4,91666667
21209380;LM;12;47;-74,43333333;4,56666667
21209390;LM;2575;47;-73,96666667;5,01666667
21209400;LM;295;47;-74;4,7
21209420;LM;262;47;-74,08333333;4,68333333
21209430;LM;26;47;-74,21666667;4,61666667
21209440;LM;26;50;-74,61666667;4,61666667
21209450;LM;33;147;-74,06666667;4,48333333
21209460;LM;34;47;-73,98333333;4,68333333
21209470;LM;27;47;-74,05;4,65
21209480;LM;276;47;-74,03333333;4,66666667
21209490;LM;285;47;-74,03333333;4,63333333
21209500;LM;294;47;-74,05;4,63333333
21209510;LM;273;47;-74,08333333;4,61666667
21209520;LM;24;47;-74,2;4,31666667
21209530;LM;35;147;-74,2;4,28333333
21209540;LM;35;47;-74,16666667;4,38333333
21209550;LM;26;47;-74,15;4,66666667
21209560;LM;28;47;-74,11666667;4,55
21209570;LM;336;47;-74,06666667;4,5
21209580;LM;293;47;-74,01666667;4,71666667
21209590;LM;32;47;-74,03333333;5,1
21209600;LM;256;47;-74,06666667;4,86666667
21209610;LM;305;47;-74,05;5,06666667
21209620;LM;2645;47;-73,98333333;5,03333333
21209630;LM;27;47;-74,26666667;4,45
21209640;LM;26;47;-74,36666667;4,78333333
21209650;LM;263;47;-74,38333333;4,86666667
21209660;LM;293;47;-74,05;5,06666667
21209670;LM;26;47;-73,98333333;5
21209680;LM;3;47;-74,11666667;5,03333333
21209690;LM;15;47;-74,43333333;4,56666667
21209700;LM;156;47;-74,38333333;4,58333333
21209710;LM;2540;47;-74,25;4,68333333
21209720;LM;257;47;-74,35;4,81666667
21209730;LM;256;47;-74,18333333;4,8
21209740;LM;157;47;-74,38333333;4,58333333
21217070;LG;562;51;-75,09013889;4,30138889
21217120;LG;1155;51;-75,29252778;4,40286111
21217140;LM;2205;51;-75,52008333;4,34136111
21217180;LG;145;51;-75,28605556;4,48205556
21217200;LG;821;51;-75,20655556;4,30061111
21217220;LM;175;51;-75,31452778;4,54013889
21217250;LG;1508;51;-75,26016667;4,46313889
21217270;LM;119;51;-75,43336111;4,40922222
21217280;LM;1907;51;-75,44593889;4,43655
21227010;LG;384;52;-74,88053056;4,535225
21237010;LG;277;52;-74,838375;4,38777778
21237020;LG;222;50;-74,72761111;5,20241667
21237040;LM;398;50;-74,65944444;4,64638889
21237050;LM;2448;50;-74,73891667;4,90552778
21247050;LM;420;55;-74,95813889;4,69205556
21257070;LG;2875;56;-74,89088889;5,01991667
21257090;LG;2625;56;-74,85313889;4,89077778
21257100;LG;570;56;-74,97194444;4,79508333
21257110;LG;408;56;-74,90491667;5,12569444
21257120;LG;1135;56;-75,08980556;4,94019444
22017010;LG;751;28;-75,66694444;3,47188889
22017020;LG;817;28;-75,68658333;3,43847222
22017030;LG;765;28;-75,66555556;3,47291667
22027010;LG;757;27;-75,61311111;3,32827778
22027020;LG;1225;27;-75,65569444;3,12605556
22037010;LG;563;28;-75,58094444;3,47308333
22047010;LM;551;36;-75,44622222;3,65863889
22057010;LG;3452;31;-75,10327778;3,90838889
22057040;LG;435;31;-75,30605556;3,67416667
22057050;LM;569;30;-75,52325;3,4635
22057060;LG;536;30;-75,46697222;3,48136111
22057070;LG;372;31;-75,20266667;3,79002778
22067010;LM;382;43;-75,18305556;3,92258333
22067020;LM;611;43;-75,45697222;3,77586111
22077030;LG;2334;48;-75,56872222;4,02219444
22077050;LG;762;48;-75,306;4,15038889
22077060;LG;695;48;-75,2745;4,17136111
23017010;LM;1139;63;-74,98333333;5,25
23017020;LM;420;63;-74,80275556;5,21027778
23017040;LG;550;63;-74,91372222;5,20616667
23017060;LM;453;63;-74,89486111;5,21901944
23017080;LM;4355;63;-74,88675;5,23528611
23027010;LM;13;63;-75,01666667;5,21666667
23027040;LM;1764;58;-75,21666667;5,13333333
23027050;LG;15;58;-75,11666667;5,16666667
23027060;LG;222;58;-74,74608333;5,28927778
23027070;LM;450;58;-74,8;5,3
23037010;LG;186;300;-74,66216667;5,46966667
23047010;LM;168;293;-74,66666667;5,45
23057020;LM;500;65;-74,91666667;5,55
23057050;LG;540;65;-74,88333333;5,61666667
23057060;LM;710;65;-75,15;5,56666667
23057070;LM;730;65;-75,16666667;5,53333333
23057080;LG;200;65;-74,8;5,7
23057090;LG;600;65;-75,11666667;5,56666667
23057100;LM;735;65;-74,95;5,36666667
23057110;LM;165;65;-74,66666667;5,76666667
23057120;LG;156;65;-75,05;5,33333333
23057130;LM;1564;65;-75,05;5,35
23057140;LG;176;65;-74,72583333;5,73102778
23057150;LG;102;65;-74,98333333;5,45
23057160;LG;950;65;-75;5,46666667
23057170;LM;500;65;-74,9;5,53333333
23057180;LG;950;65;-75,05;5,63333333
23057190;LG;930;65;-75,03333333;5,66666667
23057200;LG;900;65;-75,05;5,33333333
23067020;LG;309;304;-74,59338889;5,4695
23067030;LM;149;304;-74,63333333;5,76666667
23067040;LG;1784;304;-74,63175;5,75922222
23067050;LG;410;299;-74,57291667;5,19211111
23067060;LG;620;299;-74,44705556;5,12530556
23067070;LM;878;299;-74,46711111;5,00858333
23067080;LG;940;299;-74,34569444;5,25713889
23067100;LM;14;299;-74,48333333;5,1
23067110;LM;720;299;-74,45;5,08333333
23067120;LM;105;299;-74,46666667;4,98333333
23067130;LM;960;299;-74,48333333;5,03333333
23067140;LM;1149;299;-74,5;5,05
23067150;LM;620;299;-74,55;5,31666667
23067160;LM;3;299;-74,56322222;5,07405556
23067170;LM;215;299;-74,13333333;5,11666667
23067180;LM;500;299;-74,48333333;5,18333333
23077020;LG;1637;66;-74,63811111;6,03672222
23087070;LG;979;83;-75,03333333;6,3
23087090;LG;198;83;-75,3;6,26666667
23087140;LM;600;83;-74,81666667;6,21666667
23087150;LG;820;83;-75,37994444;6,14347222
23087160;LG;19;83;-74,86516667;6,50733333
23087190;LM;980;83;-74,93825;5,99836111
23087200;LG;285;83;-75,11713889;5,97469444
23087210;LG;1274;83;-74,67330556;6,27608333
23087230;LM;1729;83;-74,60711111;6,21197222
23087240;LG;212;83;-75,48333333;6,08333333
23087250;LG;21;83;-75,33333333;6,16666667
23087260;LG;280;83;-75,35741667;6,16891667
23087340;LG;650;83;-75,06666667;5,98333333
23087350;LG;925;83;-75,15;6,01666667
23087370;LG;220;83;-74,81666667;6,15
23087410;LG;1256;83;-75,15;6,05
23087420;LM;1887;83;-75,16666667;6,28333333
23087430;LM;2156;83;-75,5;6,08333333
23087460;LG;155;83;-75,06666667;6,15
23087490;LG;982;83;-75,03333333;6,3
23087500;LG;982;83;-74,73333333;6,38333333
23087530;LG;1;83;-75,03333333;6,28333333
23087540;LG;1075;83;-75,06666667;6,3
23087550;LG;1100;83;-75,06666667;6,3
23087590;LG;1891;83;-75,16666667;6,3
23087600;LG;214;83;-75,5;6,08333333
23087630;LG;126;83;-75,08333333;6,45
23087640;LG;890;83;-74,91666667;6,26666667
23087650;LG;900;83;-74,91666667;6,23333333
23087660;LG;21;83;-75,33786111;6,17266667
23087670;LG;2113;83;-75,36638889;6,18125
23087680;LM;19;83;-75,35;6,26666667
23087690;LM;2;83;-75,41666667;6,16666667
23087700;LM;21;83;-75,33333333;6,18333333
23087710;LM;21;83;-75,26666667;6,15
23087720;LM;21;83;-75,26666667;6,15
23087730;LM;2200;83;-75,45;6,15
23087740;LM;2;83;-75,41666667;6,16666667
23087750;LM;900;83;-74,91666667;6,26666667
23087760;LG;1208;83;-75,1;6,28333333
23087770;LM;21;83;-75,41666667;6,05
23087780;LM;21;83;-75,48333333;6,1
23087790;LM;215;83;-75,33333333;6,1
23087800;LM;21;83;-75,33333333;6,25
23087810;LM;21;83;-75,43333333;6,13333333
23087820;LM;215;83;-75,26666667;6,13333333
23087840;LG;2154;77;-75,41666667;6,3
23087860;LM;215;83;-75,45;6,28333333
23087870;LG;238;83;-74,78333333;6,2
23087880;LG;13;83;-75,03333333;6,15
23087890;LG;240;83;-74,78333333;6,18333333
23087900;LG;860;83;-75,06666667;6,06666667
23087910;LM;2273;78;-75,5;6,83333333
23087950;LM;2213;71;-75,8;6,83333333
23088110;LM;979;83;-75;6,28333333
23088120;LM;975;83;-74,93333333;6,28333333
23097030;LG;111;87;-74,40116667;6,48513889
23097040;LG;1371;87;-74,56955556;6,2215
23107010;LM;108;87;-74,38333333;6,65
23107020;LG;149;87;-74,40694444;6,73219444
23107030;LG;970;87;-74,87544444;6,63963889
23107040;LM;630;87;-74,79758333;6,77236111
23107050;LG;850;87;-74,76666667;6,65
23107060;LG;375;87;-74,6;6,7
23107070;LG;360;87;-74,58333333;6,7
23117020;LM;120;87;-74,38333333;6,61666667
23127010;LG;457;88;-74,05502778;5,64938889
23127020;LG;92;88;-74,08583333;6,52555556
23127030;LM;90;92;-74,11666667;6,78333333
23127040;LM;90;88;-74,1;6,7
23127050;LM;90;88;-74,06527778;6,64555556
23127060;LM;154;88;-74,09833333;6,29194444
23147010;LM;93;72;-73,88333333;6,96666667
23147020;LG;90;72;-73,935;6,77361111
23147040;LM;101;72;-73,76933333;6,85580556
23157010;LM;76;72;-73,85;7,06666667
23157030;LG;75;72;-73,876;7,06019444
23167010;LM;80;92;-73,95083333;6,95472222
23187010;LM;66;93;-73,90505556;7,34438889
23187120;LM;49;93;-73,85675;7,97561111
23187280;LM;58;93;-73,80191667;7,784
23197130;LG;770;93;-73,14222222;7,29305556
23197270;LM;162;93;-72,99;7,34111111
23197310;LG;600;93;-73,13333333;7,18333333
23197330;LM;150;93;-73,76666667;8,1
23197370;LM;78;93;-73,56055556;7,57805556
23197390;LM;195;93;-73,01666667;7,01666667
23197410;LM;77;93;-73,50888889;7,68472222
23197480;LM;600;93;-73,13333333;7,16666667
23197490;LM;605;93;-73,11666667;7,16666667
23197500;LM;605;93;-73,11666667;7,16666667
23197510;LM;880;93;-73,13333333;7,11666667
23197520;LM;1274;93;-73,01666667;7,33333333
23197530;LM;17;93;-73,05;7,33333333
23197540;LM;17;93;-73,05;7,33333333
23197550;LM;600;93;-73,15;7,2
23197560;LM;13;93;-73;7,35
23197570;LM;13;93;-73;7,35
23197580;LM;1100;93;-73,06666667;7,05
23197590;LM;900;93;-73,05;7,08333333
23197600;LM;1;93;-73,1;7,01666667
23197610;LG;750;93;-73,16666667;7,05
23197620;LM;785;93;-73,1;7,15
23197630;LM;755;93;-73,13333333;7,06666667
23197640;LG;850;93;-73,15;6,96666667
23197650;LM;1245;93;-73,05;7,28333333
23197660;LM;138;93;-73,05;7,33333333
23207040;LG;62;95;-73,91855556;7,48033333
23207050;LM;37;95;-73,88361111;8,5175
23217030;LM;42;94;-73,77341667;8,22233333
23217060;LM;36;95;-73,80163889;8,61383333
23217070;LM;245;94;-73,5725;8,36305556
24017040;LG;2536;89;-73,8;5,63333333
24017080;LM;2541;89;-73,75;5,31666667
24017090;LM;2541;89;-73,78333333;5,31666667
24017100;LG;283;89;-73,9;5,3
24017110;LM;26;89;-73,81666667;5,51666667
24017130;LM;2525;89;-73,73333333;5,76666667
24017140;LG;2572;89;-73,71666667;5,3
24017150;LM;261;89;-73,85133333;5,303
24017160;LG;26;89;-73,8;5,66666667
24017170;LM;2536;89;-73,8;5,43333333
24017180;LG;286;47;-73,76666667;5,2
24017190;LM;26;89;-73,85;5,53333333
24017210;LM;2536;89;-73,8;5,4
24017220;LM;2919;88;-73,9;5,45
24017230;LM;2557;89;-73,7;5,33333333
24017250;LG;26;89;-73,71666667;5,38333333
24017260;LM;2597;89;-73,78333333;5,26666667
24017290;LG;2539;89;-73,76666667;5,38333333
24017300;LG;2544;89;-73,8;5,5
24017310;LG;2548;89;-73,7;5,33333333
24017330;LM;2573;89;-73,76422222;5,32619444
24017380;LG;26;89;-73,71666667;5,45
24017400;LM;2541;89;-73,75;5,6
24017450;LM;2548;89;-73,81666667;5,6
24017490;LM;27;88;-73,86666667;5,7
24017500;LM;2533;89;-73,75;5,7
24017510;LM;2593;68;-73,35;5,58333333
24017550;LG;2596;89;-73,9;5,33333333
24017570;LM;145;89;-73,49333333;6,11833333
