CODIGO;ELEVACION;CUENCA
24040010;1300;89
24040020;1200;89
24040050;1300;89
24040060;630;89
24040070;1400;89
24050060;721;75
24050070;150;75
24050090;960;75
24050100;815;89
24050110;216;75
24050120;500;75
24050130;750;75
24050140;1000;75
24050150;1800;75
24050160;960;75
24050170;950;37
24060030;1500;75
24060040;132;75
24060050;1460;75
24060080;161;75
24065010;138;75
25010010;55;81
25010060;200;81
25010100;160;176
25010110;80;81
25020030;30;39
25020040;25;290
25020090;20;298
25020140;60;174
25020190;200;82
25020220;50;298
25020230;170;298
25020240;70;298
25020250;100;298
25020260;100;298
25020270;90;298
25020280;30;298
25020330;25;82
25020350;30;39
25020370;40;79
25020390;150;82
25020400;180;82
25020410;28;39
25020420;60;82
25020500;50;82
25020530;500;82
25020540;20;91
25020650;250;298
25020660;90;298
25020670;500;298
25020690;500;298
25020700;50;82
25020710;25;82
25020720;130;82
25020740;20;82
25020750;60;82
25020760;25;82
25020770;200;236
25020780;20;82
25020790;50;82
25020800;10;39
25020810;40;82
25020820;50;82
25020860;100;82
25020870;40;290
25020880;25;290
25020890;20;290
25020900;65;290
25020940;45;82
25020950;10;82
25020960;20;82
25020970;74;95
25020980;20;82
25020990;80;82
25021000;70;82
25021020;25;82
25021030;25;290
25021040;25;290
25021090;40;290
25021180;20;290
25021190;100;108
25021200;26;290
25021210;136;82
25021240;138;298
25021260;70;82
25021270;20;290
25021280;20;290
25021290;25;290
25021300;20;290
25021310;20;290
25021320;23;39
25021330;20;290
25021340;18;290
25021350;20;290
25021360;20;82
25021370;20;82
25021380;24;290
25021470;60;82
25021480;31;90
25021500;35;108
25021540;30;290
25021560;20;82
25021600;85;108
25021610;100;108
25021620;80;108
25021630;110;108
25021640;40;298
25021650;40;115
26010020;2419;11
26010030;2652;11
26010040;2646;11
26020020;2446;103
26020030;1872;103
26020040;1112;14
26020060;1800;5
26020080;1450;5
26020090;1840;4
26020100;1228;14
26020120;1136;14
26020130;2427;4
26020160;1441;14
26020170;2550;103
26020180;1742;11
26020190;371;4
26020200;1197;14
26020220;1692;5
26020230;1767;4
26020240;1805;5
26020250;1397;5
26020270;1500;103
26020290;1000;14
26020310;1600;4
26020320;3482;11
26020340;1690;5
26020350;1670;5
26020360;1397;5
26020390;1546;5
26020410;1600;5
26020450;1250;14
26020460;2507;4
26030020;1730;11
26030030;2658;12
26030040;1900;12
26030050;1742;12
26030060;2171;12
26030070;1246;12
26030080;2502;12
26030090;1628;12
26030130;1200;4
26030150;1171;103
26040060;1790;6
26040110;1920;6
26040120;1300;6
26040130;1915;6
26040140;1917;6
26040150;1919;6
26040160;1026;6
26040170;1920;223
26040190;2339;6
26040200;1713;6
26040210;1500;6
26040220;1838;6
26040230;1921;6
26040240;2322;6
26040250;1107;6
26040260;1774;6
26040270;1029;6
26040290;293;5
26040310;19;6
26040330;1924;6
26040340;2500;5
26050060;195;103
26050070;1005;15
26050090;1730;306
26050130;1298;308
26050160;1228;308
26050170;1312;306
26050200;950;16
26050210;1567;16
26050220;1442;16
26050250;1794;16
26050260;2100;16
26050270;1156;15
26050340;970;15
26060020;13;223
26060030;988;14
26060040;980;6
26060050;970;7
26060060;975;7
26060070;972;7
26060080;972;223
26060090;977;223
26060100;1200;223
26060110;995;223
26060120;1923;6
26060130;1922;6
26060140;1921;6
26060150;975;223
26060160;1000;223
26060170;1000;223
26060180;980;223
26060200;2472;223
26060210;965;7
26070010;940;7
26070030;980;9
26070040;1065;9
26070050;1006;7
26070060;1550;9
26070110;119;7
26070120;1280;7
26070130;1085;7
26070140;980;7
26070150;1225;7
26070160;990;7
26070170;155;7
26070180;985;7
26070190;980;9
26070270;1130;7
26070290;950;9
26070300;948;9
26070310;980;9
26070320;1100;7
26070330;990;7
26070340;990;7
26070350;1120;7
26070360;1200;7
26070370;1180;7
26070380;1000;7
26070390;990;7
26070400;975;7
26070410;1190;7
26070420;1225;7
26070430;1280;7
26070450;950;9
26070470;1052;9
26070480;970;7
26070490;1000;7
26070500;1250;7
26070510;1200;7
26070520;1080;7
26070530;1227;7
26070540;1005;7
26070550;995;7
26070560;990;7
26070570;956;7
26070580;958;7
26070590;2410;7
26070600;1960;7
26070610;2160;7
26070640;1200;7
26070650;2100;7
26070660;1300;7
26070670;1220;7
26070680;1000;295
26070690;1200;7
26070700;1100;7
26070710;1000;7
26070720;1200;7
26070730;1056;9
26070750;950;9
26070760;159;7
26070850;1350;7
26070860;980;7
26070920;960;7
26080070;974;13
26080130;1950;306
26080150;1260;306
26080160;1871;7
26080170;962;214
26080190;1433;13
26080200;1698;215
26080210;1093;61
26080220;1716;13
26080240;1566;214
26080250;1532;61
26080260;953;61
26080280;1637;306
26080290;962;13
26080350;930;13
26080360;1490;13
26080370;1730;13
26090050;1360;10
26090060;1826;8
26090070;1272;9
26090080;965;8
26090090;1810;9
26090140;982;8
26090150;1029;8
26090160;1380;8
26090170;1035;8
26090180;1017;8
26090190;1103;9
26090200;940;9
26090210;1025;9
26090220;1030;9
26090230;950;8
26090240;1100;8
26090250;966;8
26090260;1000;8
26090270;1300;8
26090280;950;8
26090290;987;9
26090300;1500;9
26090330;980;10
26090340;1082;9
26090350;3690;9
26090380;2875;9
26090390;1000;9
26090430;2100;9
26090440;1170;9
26090460;1305;9
26090480;1644;10
26090510;1555;9
26090520;1424;8
26090530;2360;10
26090550;1950;8
26090560;3052;9
26090570;1704;8
26090580;1650;10
26090600;1900;10
26090620;1221;10
26090630;990;8
26090650;950;33
26090700;970;33
26090720;1000;9
26090730;1026;9
26090740;1010;9
26090750;1009;8
26090760;1062;8
26090780;1100;9
26090810;3520;9
26090820;3690;9
26090880;1750;9
26090900;1028;9
26090910;1036;9
26090920;980;9
26090930;1029;8
26100070;964;34
26100080;933;76
26100100;956;76
26100110;930;35
26100120;980;35
26100130;975;35
26100140;985;35
26100150;980;35
26100170;950;35
26100180;935;35
26100190;940;35
26100200;935;76
26100210;914;76
26100220;970;34
26100230;980;35
26100240;934;76
26100270;1030;76
26100280;939;23
26100290;970;76
26100300;986;76
26100320;921;35
26100340;1663;35
26100350;1657;34
26100360;1024;76
26100370;942;34
26100380;2290;34
26100410;1191;35
26100420;975;34
26100430;962;76
26100460;960;34
26100490;933;76
26100510;956;76
26100600;965;34
26100620;980;33
26100640;913;76
26100660;2350;33
26100670;2783;34
26100680;1560;34
26100690;2132;33
26100700;1314;33
26100710;980;33
26100720;980;33
26100740;949;76
26100770;1382;34
26100780;953;76
26100790;2809;34
26100800;2507;33
26100830;940;76
26100860;930;35
26100870;930;76
26100880;920;23
26100890;920;76
26100900;950;34
26100910;940;34
26100920;930;34
26100930;930;34
26100940;950;33
26100950;950;34
26100960;930;34
26100970;960;33
26100980;950;33
26101010;950;35
26101020;930;76
26101030;930;35
26101040;930;23
26101050;920;23
26101060;950;34
26101070;950;34
26101080;950;34
26101090;950;33
26101100;930;35
26101110;940;35
26101120;930;35
26101130;930;35
26101140;930;35
26101150;930;76
26110030;1600;23
26110040;972;23
26110050;1020;23
26110090;990;23
26110120;1341;23
26110130;1550;23
26110140;1643;211
26110160;974;23
26110170;1640;211
26110180;1357;211
26110190;951;23
26110200;1813;23
26110220;1750;211
26110240;1000;23
26110290;959;23
26110300;940;23
26110330;976;23
26110350;1500;23
26110360;1400;23
26110380;976;23
26110390;1460;211
26110430;1514;23
26110440;1807;23
26110450;1380;23
26110460;1727;23
26120040;1540;53
26120060;1400;53
26120080;1300;53
26120110;1250;53
26120120;124;53
26120130;1178;53
26120150;1261;53
26120160;26;53
26120170;1685;53
26120180;171;53
26120190;1320;53
26120200;1700;53
26120210;1500;53
26120220;1350;53
26120240;1290;53
26120260;1560;53
26120270;1320;53
26120280;1550;53
26120290;1950;53
26120300;2278;53
26120320;1551;53
26120330;2680;53
26120340;1200;53
26120350;1490;53
26120360;1340;53
26120370;2250;53
26120390;2500;53
26120400;2280;53
26120410;1800;53
26120420;1600;53
26120430;1180;53
26120440;1200;53
26120450;1900;53
26120460;2250;24
26120470;2500;53
26120480;2200;53
26120490;2200;53
26120500;1350;53
26120510;2000;53
26120520;1250;53
26120530;1400;53
26120540;1500;53
26120550;1220;53
26120560;1300;53
26120570;1540;53
26120590;1400;53
26120600;1100;76
26120610;1250;53
26120720;1700;24
26130020;21;24
26130050;1475;24
26130060;1675;24
26130070;1750;24
26130120;1440;24
26130130;1660;24
26130170;2134;24
26130180;1196;53
26130200;1587;24
26130210;1240;24
26130220;121;24
26130240;1340;53
26130250;1620;24
26130260;1450;24
26130280;1675;24
26130290;2115;24
26130300;1040;24
26130320;1790;24
26130330;1791;24
26130340;1405;210
26130370;1360;24
26130380;1550;24
26130390;1350;24
26130400;1450;24
26130410;1550;24
26130420;1500;24
26130430;1300;53
26130440;1300;24
26130470;1450;24
26130480;1600;24
26130590;1540;24
26130600;1560;53
26135160;1947;24
26140030;1480;45
26140050;1450;45
26140060;1430;23
26140090;1609;45
26140100;1500;45
26140110;2173;45
26140120;1483;45
26140130;1000;45
26140140;900;45
26140150;1720;45
26140160;2560;45
26140170;1660;45
26140180;922;24
26140200;1500;23
26140210;1200;24
26140220;1020;45
26140240;1500;45
26140250;1650;45
26140270;1580;45
26140340;1550;45
26140350;1400;45
26140360;1550;45
26140370;1350;45
26140380;1700;45
26140390;1550;45
26140400;1420;23
26140410;1550;45
26140420;1450;45
26140430;1650;45
26140440;1530;45
26140450;1200;45
26140460;1900;45
26140470;1620;23
26150030;2055;25
26150040;2072;25
26150050;2170;25
26150060;917;24
26150070;1850;25
26150080;1370;25
26150090;1450;25
26150130;3100;25
26150140;1350;59
26150150;2304;25
26150160;3341;25
26150180;2200;25
26150190;2600;25
26150210;3100;25
26150220;1340;25
26150230;2600;25
26150240;2420;25
26150250;1850;25
26150260;1225;24
26150280;1340;25
26150300;1850;25
26150310;1400;25
26150330;1100;24
26150340;1420;25
26150350;1780;25
26150360;1650;25
26150420;1400;25
26150430;1250;24
26160030;1500;59
26160050;2500;59
26160060;800;59
26160080;1890;59
26160090;712;59
26160100;198;59
26160110;1870;59
26160120;2411;59
26160130;1400;59
26160140;1200;59
26160150;2020;59
26160160;1480;54
26160230;1400;59
26160240;1600;59
26160280;1400;59
26160290;1800;59
26160300;1800;59
26160310;1600;59
26170080;1250;54
26170110;1550;54
26170120;1650;54
26170130;1320;54
26170150;2100;54
26170180;850;54
26170190;1140;54
26170200;1000;54
26170210;1190;54
26170220;1650;54
26170230;1490;54
26170240;2500;54
26170260;797;54
26170270;980;54
26170290;1946;54
26170300;2200;45
26170310;1900;45
26170320;1420;54
26170330;1550;54
26170340;1630;54
26170380;1350;54
26170390;1500;45
26180010;2030;64
26180050;1600;64
26180100;2500;64
26180120;1780;64
26180160;2450;64
26180170;2530;64
26180190;2400;59
26180200;560;64
26180220;608;54
26190090;1600;57
26190100;1250;57
26200120;515;71
26200130;1700;71
26200140;1800;71
26200150;1650;71
26200160;1350;71
26200170;1250;71
26200180;1670;71
26200190;1700;71
26210070;550;70
26210080;620;70
26210090;550;70
26210110;2100;57
26210130;1800;70
26210140;232;70
26220090;10;70
26220100;1950;70
26230010;575;71
26230110;1600;71
26230130;2830;71
26230140;1250;71
26230220;2300;77
26230230;2240;71
26240060;75;82
26240090;80;80
26240100;70;80
26240150;150;70
26240160;49;79
26240170;175;80
26250030;95;79
26250060;125;80
26250110;190;79
27010320;1650;77
27010400;2070;77
27010430;2150;77
27010440;1784;77
27010500;1800;77
27010540;2550;77
27010560;1350;77
27010570;1290;77
27010600;1800;77
27010620;3150;71
27010650;2200;77
27010740;2520;77
27010750;2285;77
27010770;255;71
27010800;2600;77
27010820;1600;77
27010830;2320;77
27010840;1900;77
27010850;1530;77
27010870;2540;77
27010880;2630;78
27010890;1550;77
27010900;1850;77
27010960;1100;77
27011030;1460;77
27011090;75;91
27011100;600;77
27020100;2350;78
27020120;1675;78
27020170;950;78
27020190;2400;78
27020210;1650;78
27020220;2750;78
27020230;1750;78
27020260;10;78
27020300;2250;77
27020370;500;78
27020390;1310;78
27020400;1130;78
27020410;1225;78
27020430;1750;78
27030040;40;90
27030080;650;91
27030090;220;77
27030140;100;91
27030210;50;91
27040020;125;90
27040030;100;90
28010040;740;100
28010070;120;100
28010090;450;101
28010200;594;101
28010340;340;101
28010360;800;101
28010370;180;100
28020080;60;100
28020150;60;100
28020410;150;100
28020420;70;100
28020440;80;100
28020460;90;100
28020590;140;100
28020600;150;100
28030190;220;100
28030220;244;100
28040010;10;115
28040030;130;115
28040070;80;115
28040100;100;115
28040140;140;115
28040150;140;115
28040270;150;115
28040300;120;115
28040320;135;115
28040350;30;115
28040360;100;115
29010050;15;82
29010060;30;99
29010070;50;99
29010100;150;99
29010120;80;99
29010130;20;99
29020020;60;114
29030050;20;96
29030140;20;96
29030160;12;102
29030170;10;102
29030200;70;102
29030270;15;96
29030280;50;102
29030290;30;102
29030310;10;102
29030320;5000;96
29030370;1000;102
29030380;10;102
29030410;10;96
29030430;8000;102
29030450;60;102
29030480;60;102
29030500;60;102
29030520;70;102
29030530;60;102
29030780;60;102
29040020;100;96
29040070;8000;97
29040080;80;97
29040200;45;97
29040230;5000;307
29040250;4000;97
29040260;4000;97
29040270;4000;96
29040290;100;96
29040300;5000;97
29040310;8000;96
29050010;41;98
29050020;15;98
29060030;20;98
29060040;40;98
29060060;450;98
29060070;800;98
29060080;4000;98
29060090;20;98
29060100;75;98
29060120;2000;98
29060140;25;98
29060150;20;98
29060160;25;98
29060170;20;98
29060180;25;98
29060200;30;98
29060210;23;98
29060250;20;98
29060270;25;98
29060280;25;98
29060310;5000;98
29060340;1200;98
29060350;30;98
29060540;10;98
29060560;50;98
32010010;383;74
32030020;351;74
32040020;184;162
32060020;600;150
32060030;600;146
32060060;800;150
32060090;840;150
32070010;260;150
32070020;240;150
32070030;500;295
32070040;245;295
32070060;300;150
32070080;191;150
32070090;440;295
32070100;410;295
32070110;520;150
32080010;230;150
32190010;96;160
33050020;90;123
35010010;182;148
35010020;525;146
35010030;610;147
35010040;800;146
35010060;230;146
35010070;525;146
35010080;200;146
35010090;420;146
35010100;850;146
35010140;3460;150
35010230;183;148
35020010;1300;147
35020040;540;146
35020060;260;304
35020080;2340;147
35020090;1600;147
35020280;1950;147
35020290;1900;147
35020300;2300;147
35020340;2300;147
35020350;3150;147
35020370;2200;147
35020380;3090;147
35020390;2400;147
35020400;3500;47
35020410;2850;147
35020420;2430;147
35020430;3440;147
35020440;3500;47
35020450;3999;147
35020460;3700;142
35020470;2600;147
35020480;3200;46
35020490;3400;147
35020500;1300;147
35025070;3150;147
35030020;1100;142
35030050;300;304
35030110;3750;142
35030120;3350;142
35030130;3450;147
35030140;3100;142
35030150;3250;142
35030160;3250;142
35030170;3100;142
35030180;3620;142
35030190;3350;142
35030200;3300;142
35030210;3200;142
35030220;3000;142
35030230;3500;142
35030240;3300;142
35030280;3500;147
35040010;870;144
35050010;480;143
35050020;426;143
35060010;2735;145
35060020;1965;145
35060050;2323;145
35060090;1733;145
35060120;1791;145
35060130;23;145
35060140;23;145
35060150;2878;145
35060160;2802;145
35060170;2502;145
35060180;1929;145
35060200;2963;145
35060210;2100;145
35060220;1845;145
35060230;1943;145
35060240;2210;145
35060250;1649;145
35060280;1800;145
35060300;1740;145
35060320;2250;145
35060330;2340;145
35060400;3500;147
35060410;2220;142
35060420;2200;145
35060440;2900;145
35060450;3100;145
35070020;2630;89
35070030;2400;42
35070040;2115;42
35070050;2300;42
35070060;2150;42
35070070;1900;42
35070100;1600;42
35070130;1200;42
35070160;1800;42
35070170;400;145
35070210;2160;42
35070470;2150;42
35070490;2346;42
35080010;1720;128
35080020;1570;128
35080030;1370;128
35080060;1600;128
35080070;400;128
35080080;450;128
35080100;1790;128
35080110;2250;128
35090050;1200;129
35090060;1725;129
