cuenca,codigo
4,26027240
15,26057040
17,21057060
24,26137220
27,22027020
28,22017010
30,22057040
36,22047010
42,35077080
44,21167080
46,21197010
51,21217200
65,23057140
69,24027010
72,23147020
75,24067020
86,21017020
87,23107020
89,24017600
93,23197370
103,26027100
140,35197180
146,35017090
154,16037030
155,16047010
166,16027100
167,16017020
179,12017020
197,11037020
243,52017070
245,52037010
246,52047010
252,52067030
260,44017110
262,47017160
295,32077070
299,23067040
303,52057050
