cod_ah;cod_szh;cod_zh;nom_ah;nom_szh;nom_zh;objectid_1;ruleid;shape_area;shape_leng;HISTO_0;HISTO_1;HISTO_2;HISTO_3;HISTO_4;HISTO_5;HISTO_6;HISTO_7;HISTO_8;HISTO_9;HISTO_10;HISTO_11;HISTO_12;HISTO_13;HISTO_14;HISTO_15;HISTO_16;HISTO_17;HISTO_18;HISTO_19;Area Cuenca (ha);FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha);FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
1;1105;11;Caribe;Directos Atrato entre r?os Quito y Bojay? (mi);Atrato - Dari?n;193;2;0.252138714;3.398436706;4017242;1096;1092;19;1116;317;974;1242;523;1486;2397;905;1178;916;1635;70;345;1034;222;531;308661.106;83.60;83.30;1.45;85.13;24.18;74.29;94.74;39.89;113.35;182.84;69.03;89.86;69.87;124.71;5.34;26.32;78.87;16.93;40.50;0.027%;0.027%;0.000%;0.028%;0.008%;0.024%;0.031%;0.013%;0.037%;0.059%;0.022%;0.029%;0.023%;0.040%;0.002%;0.009%;0.026%;0.005%;0.013%;0.027%;0.054%;0.055%;0.082%;0.090%;0.114%;0.145%;0.158%;0.194%;0.254%;0.276%;0.305%;0.328%;0.368%;0.370%;0.378%;0.404%;0.409%;0.423%
1;1106;11;Caribe;Directos Atrato entre r?os Bebaram? y Murr? (md);Atrato - Dari?n;194;2;0.130939159;2.50146337;2078214;662;322;127;245;229;394;622;272;854;1003;907;1428;561;597;81;592;4717;2410;798;160216.964;50.50;24.56;9.69;18.69;17.47;30.05;47.44;20.75;65.14;76.51;69.18;108.92;42.79;45.54;6.18;45.16;359.80;183.83;60.87;0.032%;0.015%;0.006%;0.012%;0.011%;0.019%;0.030%;0.013%;0.041%;0.048%;0.043%;0.068%;0.027%;0.028%;0.004%;0.028%;0.225%;0.115%;0.038%;0.032%;0.047%;0.053%;0.065%;0.075%;0.094%;0.124%;0.137%;0.177%;0.225%;0.268%;0.336%;0.363%;0.391%;0.395%;0.424%;0.648%;0.763%;0.801%
1;1107;11;Caribe;R?o Murr?;Atrato - Dari?n;195;2;0.283384759;3.630337334;4429988;4634;2358;1759;3631;4148;5142;2439;3259;7234;4494;6114;5467;3758;5022;1918;5645;23850;8005;5212;346657.825;353.47;179.86;134.17;276.96;316.40;392.22;186.04;248.59;551.79;342.79;466.36;417.01;286.65;383.07;146.30;430.59;1819.22;610.60;397.56;0.102%;0.052%;0.039%;0.080%;0.091%;0.113%;0.054%;0.072%;0.159%;0.099%;0.135%;0.120%;0.083%;0.111%;0.042%;0.124%;0.525%;0.176%;0.115%;0.102%;0.154%;0.193%;0.272%;0.364%;0.477%;0.531%;0.602%;0.761%;0.860%;0.995%;1.115%;1.198%;1.308%;1.351%;1.475%;2.000%;2.176%;2.290%
1;1104;11;Caribe;R?o Bebaram? y otros Directos Atrato (md);Atrato - Dari?n;196;2;0.21185511;2.343947603;3373509;794;611;299;414;246;397;594;334;651;1628;545;1194;456;505;57;672;5624;688;443;259394.071;60.56;46.61;22.81;31.58;18.76;30.28;45.31;25.48;49.66;124.18;41.57;91.08;34.78;38.52;4.35;51.26;428.99;52.48;33.79;0.023%;0.018%;0.009%;0.012%;0.007%;0.012%;0.017%;0.010%;0.019%;0.048%;0.016%;0.035%;0.013%;0.015%;0.002%;0.020%;0.165%;0.020%;0.013%;0.023%;0.041%;0.050%;0.062%;0.070%;0.081%;0.099%;0.108%;0.128%;0.175%;0.192%;0.227%;0.240%;0.255%;0.257%;0.276%;0.442%;0.462%;0.475%
1;1103;11;Caribe;R?o Quito;Atrato - Dari?n;197;2;0.147914946;2.802787151;2326315;1003;1221;147;2478;923;491;2590;578;1960;2806;2102;2382;563;4587;2787;2461;6645;2512;2077;181271.001;76.51;93.14;11.21;189.02;70.40;37.45;197.56;44.09;149.50;214.04;160.34;181.69;42.94;349.89;212.59;187.72;506.86;191.61;158.43;0.042%;0.051%;0.006%;0.104%;0.039%;0.021%;0.109%;0.024%;0.082%;0.118%;0.088%;0.100%;0.024%;0.193%;0.117%;0.104%;0.280%;0.106%;0.087%;0.042%;0.094%;0.100%;0.204%;0.243%;0.264%;0.373%;0.397%;0.479%;0.597%;0.686%;0.786%;0.810%;1.003%;1.120%;1.224%;1.503%;1.609%;1.696%
1;1102;11;Caribe;Alto Atrato;Atrato - Dari?n;198;2;0.135946524;2.189661854;2152659;1503;429;467;529;520;960;851;1362;1369;1824;2207;1263;668;644;127;723;4863;920;1282;166531.63;114.65;32.72;35.62;40.35;39.66;73.23;64.91;103.89;104.42;139.13;168.34;96.34;50.95;49.12;9.69;55.15;370.94;70.18;97.79;0.069%;0.020%;0.021%;0.024%;0.024%;0.044%;0.039%;0.062%;0.063%;0.084%;0.101%;0.058%;0.031%;0.029%;0.006%;0.033%;0.223%;0.042%;0.059%;0.069%;0.088%;0.110%;0.134%;0.158%;0.202%;0.241%;0.303%;0.366%;0.450%;0.551%;0.608%;0.639%;0.669%;0.674%;0.707%;0.930%;0.972%;1.031%
1;1101;11;Caribe;R?o And?gueda;Atrato - Dari?n;199;2;0.073491169;1.935924274;1167132;426;176;109;194;172;354;253;411;870;588;1608;974;187;242;15;512;1061;287;306;90055.714;32.49;13.42;8.31;14.80;13.12;27.00;19.30;31.35;66.36;44.85;122.65;74.29;14.26;18.46;1.14;39.05;80.93;21.89;23.34;0.036%;0.015%;0.009%;0.016%;0.015%;0.030%;0.021%;0.035%;0.074%;0.050%;0.136%;0.082%;0.016%;0.020%;0.001%;0.043%;0.090%;0.024%;0.026%;0.036%;0.051%;0.060%;0.077%;0.091%;0.121%;0.143%;0.177%;0.251%;0.301%;0.437%;0.520%;0.535%;0.556%;0.557%;0.601%;0.690%;0.715%;0.741%
5;5601;56;Pacifico;Directos Pacifico Frontera Panam?;Pac?fico - Directos;200;5;0.346253326;9.306470423;5485217;673;2213;310;1990;706;1505;2685;2926;4862;2709;2486;3716;2550;4229;1912;4945;6508;3512;4418;423794.423;51.33;168.80;23.65;151.79;53.85;114.80;204.81;223.19;370.86;206.64;189.63;283.45;194.51;322.58;145.84;377.19;496.41;267.89;336.99;0.012%;0.040%;0.006%;0.036%;0.013%;0.027%;0.048%;0.053%;0.088%;0.049%;0.045%;0.067%;0.046%;0.076%;0.034%;0.089%;0.117%;0.063%;0.080%;0.012%;0.052%;0.058%;0.093%;0.106%;0.133%;0.181%;0.234%;0.322%;0.370%;0.415%;0.482%;0.528%;0.604%;0.638%;0.727%;0.845%;0.908%;0.987%
1;1503;15;Caribe;R?o Ancho y Otros Directos al caribe;Caribe - Guajira;201;2;0.161783813;1.883725646;2431931;6653;8260;18665;2476;4288;7199;8971;5684;6796;5975;4330;5894;3130;9244;9511;19140;14821;10037;5539;195536.444;507.48;630.05;1423.72;188.86;327.08;549.12;684.29;433.56;518.38;455.76;330.28;449.58;238.75;705.11;725.48;1459.95;1130.51;765.60;422.50;0.260%;0.322%;0.728%;0.097%;0.167%;0.281%;0.350%;0.222%;0.265%;0.233%;0.169%;0.230%;0.122%;0.361%;0.371%;0.747%;0.578%;0.392%;0.216%;0.260%;0.582%;1.310%;1.406%;1.574%;1.855%;2.205%;2.426%;2.691%;2.924%;3.093%;3.323%;3.445%;3.806%;4.177%;4.924%;5.502%;5.893%;6.109%
1;1506;15;Caribe;R?o Rancher?a;Caribe - Guajira;202;2;0.354454872;3.894404905;5248391;73997;13006;42059;13044;24184;28422;23779;24002;22098;14471;24831;27182;13054;15587;11090;10272;12816;11161;17839;428354.96;5644.32;992.07;3208.16;994.97;1844.70;2167.96;1813.81;1830.82;1685.58;1103.81;1894.05;2073.38;995.73;1188.94;845.92;783.52;977.57;851.33;1360.72;1.318%;0.232%;0.749%;0.232%;0.431%;0.506%;0.423%;0.427%;0.394%;0.258%;0.442%;0.484%;0.232%;0.278%;0.197%;0.183%;0.228%;0.199%;0.318%;1.318%;1.549%;2.298%;2.530%;2.961%;3.467%;3.891%;4.318%;4.712%;4.969%;5.411%;5.895%;6.128%;6.406%;6.603%;6.786%;7.014%;7.213%;7.531%
