,Macrocuenca,Departamento,Nombre Región Hidrológica,Nombre Zona Hidrológica,Nombre Subzona Hidrológica,Área cuenca (ha),Pendiente Media de la cuenca (%),Elevación Máxima (m.s.n.m.),Elevación Mínima (m.s.n.m.),FCL (ha) 2001,FCL (ha) 2002,FCL (ha) 2003,FCL (ha) 2004,FCL (ha) 2005,FCL (ha) 2006,FCL (ha) 2007,FCL (ha) 2008,FCL (ha) 2009,FCL (ha) 2010,FCL (ha) 2011,FCL (ha) 2012,FCL (ha) 2013,FCL (ha) 2014,FCL (ha) 2015,FCL (ha) 2016,FCL (ha) 2017,FCL (ha) 2018,FCL (ha) 2019,FCL (%) 2001,FCL (%) 2002,FCL (%) 2003,FCL (%) 2004,FCL (%) 2005,FCL (%) 2006,FCL (%) 2007,FCL (%) 2008,FCL (%) 2009,FCL (%) 2010,FCL (%) 2011,FCL (%) 2012,FCL (%) 2013,FCL (%) 2014,FCL (%) 2015,FCL (%) 2016,FCL (%) 2017,FCL (%) 2018,FCL (%) 2019
26,27,Norte de Santander,Caribe,Catatumbo,Río Pamplonita,140502.55,33.36,3240,60,938.44,196.64,171.01,429.14,179.02,248.59,509.15,202.36,622.81,247.9,69.95,1040.58,115.64,217.77,178.95,222.96,251.87,118.99,129.21,0.006679999999999999,0.0014,0.00122,0.00305,0.0012699999999999999,0.0017699999999999999,0.0036200000000000004,0.00144,0.00443,0.00176,0.0005,0.007409999999999999,0.00082,0.00155,0.0012699999999999999,0.00159,0.00179,0.00085,0.0009199999999999999
27,28,Antioquía,Caribe,Caribe - Litoral,Río León,227380.77,13.36,1546,0,869.26,511.52,117.54,1816.86,847.9,378.64,818.99,483.52,554.39,974.68,202.36,1493.9,376.74,341.34,195.73,838.22,1278.41,643.48,468.34,0.0038200000000000005,0.00225,0.0005200000000000001,0.00799,0.00373,0.0016699999999999998,0.0036,0.00213,0.00244,0.0042899999999999995,0.0008900000000000001,0.00657,0.0016600000000000002,0.0015,0.00086,0.0036899999999999997,0.00562,0.00283,0.00206
28,29,Chocó,Caribe,Atrato - Darién,Río Quito,181271.0,8.27,359,42,76.51,93.14,11.21,189.02,70.4,37.45,197.56,44.09,149.5,214.04,160.34,181.69,42.94,349.89,212.59,187.72,506.86,191.61,158.43,0.00042,0.0005099999999999999,5.9999999999999995e-05,0.0010400000000000001,0.00039,0.00021,0.00109,0.00023999999999999998,0.00082,0.00118,0.00088,0.001,0.00023999999999999998,0.00193,0.00117,0.0010400000000000001,0.0028,0.00106,0.0008699999999999999
29,30,Cauca,Pacifico,Patía,Río Patia Alto,320905.72,35.51,3665,592,924.56,486.04,208.39,632.95,477.88,494.05,181.62,411.82,1223.04,174.98,674.83,1688.71,258.89,527.38,232.8,244.09,505.03,443.86,377.65,0.00288,0.00151,0.00065,0.00197,0.00149,0.0015400000000000001,0.00057,0.00128,0.00381,0.00055,0.0021,0.00526,0.00081,0.00164,0.00073,0.0007599999999999999,0.00157,0.0013800000000000002,0.00118
30,31,Nariño,Pacifico,Patía,Río Mayo,87156.48,38.4,3629,673,360.87,109.31,48.21,182.53,97.18,162.32,59.65,164.38,118.76,69.79,214.95,351.41,28.83,45.77,6.56,62.4,105.87,56.29,69.64,0.00414,0.00125,0.00055,0.00209,0.0011099999999999999,0.00186,0.0006799999999999999,0.0018899999999999998,0.0013599999999999999,0.0008,0.00247,0.00403,0.00033,0.00053,8e-05,0.00072,0.00121,0.00065,0.0008
31,32,Nariño,Pacifico,Patía,Río Juananbú,207754.97,41.72,3564,530,572.92,238.37,147.22,307.02,218.08,324.26,347.37,394.43,296.64,253.47,323.65,523.11,139.74,127.99,26.62,127.38,300.76,93.14,87.19,0.0027600000000000003,0.00115,0.0007099999999999999,0.00148,0.00105,0.00156,0.0016699999999999998,0.0019,0.00143,0.00122,0.00156,0.00252,0.00067,0.00062,0.00013000000000000002,0.00061,0.00145,0.00045,0.00042
32,33,Nariño,Pacifico,Patía,Río Telembí,461365.23,29.9,3541,29,1605.64,1332.8,241.95,2114.49,202.9,873.38,642.33,294.74,830.97,453.93,140.27,861.33,109.69,173.99,250.34,528.22,875.59,159.27,278.34,0.0034799999999999996,0.0028899999999999998,0.0005200000000000001,0.00458,0.00044,0.0018899999999999998,0.00139,0.00064,0.0018,0.00098,0.0003,0.00187,0.00023999999999999998,0.00037999999999999997,0.00054,0.00114,0.0019,0.00035,0.0006
33,34,Putumayo,Amazonas,Caquetá,Alto Caqueta,580043.79,39.79,3834,250,494.97,658.89,562.17,1190.39,593.67,455.61,1038.37,1071.4,822.88,917.62,880.4,1209.0,823.95,693.44,714.04,1433.56,2174.52,1089.7,2199.47,0.00085,0.00114,0.0009699999999999999,0.00205,0.0010199999999999999,0.00079,0.00179,0.00185,0.0014199999999999998,0.00158,0.0015199999999999999,0.0020800000000000003,0.0014199999999999998,0.0012,0.00123,0.00247,0.00375,0.0018800000000000002,0.00379
34,35,Putumayo,Amazonas,Putumayo,Alto Río Putumayo,696499.71,24.99,3345,299,3743.25,4385.81,1697.71,1615.64,1564.84,1607.17,2644.7,2694.13,1633.56,1578.57,2019.45,2510.07,2746.91,1748.74,3019.3,4727.92,6612.43,3805.34,7395.12,0.005370000000000001,0.0063,0.00244,0.00232,0.00225,0.00231,0.0038,0.00387,0.00235,0.00227,0.0029,0.0036,0.00394,0.00251,0.00433,0.006790000000000001,0.00949,0.0054600000000000004,0.010620000000000001
35,36,Meta,Orinoco,Guaviare,Río Guejar,329599.12,16.51,3048,207,1531.5,878.95,379.33,1080.02,538.67,860.03,2716.78,1500.69,1468.8,2797.48,1758.12,1107.32,648.44,1010.68,979.48,1336.46,2527.31,2177.88,1773.76,0.00465,0.00267,0.00115,0.00328,0.0016300000000000002,0.0026100000000000003,0.00824,0.00455,0.00446,0.008490000000000001,0.00533,0.00336,0.00197,0.00307,0.00297,0.00405,0.007670000000000001,0.0066099999999999996,0.005379999999999999
