year;month;mc;v_flow_mean;v_rainfall_total;
2000;1;21;15.03;136.67;
2000;2;21;13.32;217.92;
2000;3;21;11.45;290.00;
2000;4;21;8.93;153.00;
2000;5;21;10.89;95.00;
2000;6;21;6.70;44.00;
2000;7;21;6.88;7.00;
2000;8;21;9.57;19.00;
2000;9;21;6.89;48.71;
2000;10;21;6.28;95.29;
2000;11;21;8.91;135.17;
2000;12;21;5.84;135.83;
2001;1;21;4.44;108.00;
2001;2;21;4.42;63.00;
2001;3;21;4.98;284.54;
2001;4;21;6.15;49.46;
2001;5;21;5.58;27.00;
2001;6;21;14.13;209.00;
2001;7;21;8.19;51.00;
2001;8;21;8.85;85.00;
2001;9;21;5.26;5.00;
2001;10;21;3.76;275.00;
2001;11;21;4.52;207.00;
2001;12;21;7.52;503.00;
2002;1;21;5.44;131.00;
2002;2;21;3.73;84.00;
2002;3;21;3.47;39.00;
2002;4;21;7.78;115.00;
2002;5;21;6.48;311.00;
2002;6;21;15.91;39.00;
2002;7;21;10.75;101.00;
2002;8;21;8.93;27.00;
2002;9;21;4.04;13.00;
2002;10;21;3.77;90.00;
2002;11;21;5.60;125.00;
2002;12;21;5.74;110.00;
2003;1;21;3.96;121.00;
2003;2;21;7.51;54.00;
2003;3;21;4.87;94.00;
2003;4;21;7.60;217.00;
2003;5;21;9.82;204.00;
2003;6;21;6.18;38.00;
2003;7;21;8.64;84.00;
2003;8;21;4.40;10.00;
2003;9;21;3.26;0.00;
2003;10;21;4.50;16.00;
2003;11;21;5.12;179.67;
2003;12;21;7.57;157.21;
2004;1;21;7.33;62.13;
2004;2;21;3.66;151.00;
2004;3;21;5.01;61.00;
2004;4;21;7.51;93.00;
2004;5;21;5.76;139.00;
2004;6;21;10.20;4.00;
2004;7;21;7.01;6.00;
2004;8;21;7.72;7.00;
2004;9;21;3.12;6.00;
2004;10;21;5.20;3.00;
2004;11;21;9.80;95.00;
2004;12;21;7.80;225.46;
2005;1;21;6.91;161.54;
2005;2;21;7.74;149.00;
2005;3;21;4.67;60.00;
2005;4;21;7.70;166.00;
2005;5;21;8.40;22.00;
2005;6;21;6.60;27.00;
2005;7;21;6.26;15.00;
2005;8;21;7.32;14.00;
2005;9;21;4.86;9.00;
2005;10;21;5.68;60.00;
2005;11;21;7.78;158.42;
2005;12;21;11.24;130.58;
2006;1;21;9.62;85.42;
2006;2;21;7.21;125.58;
2006;3;21;10.49;0.00;
2006;4;21;10.89;300.37;
2006;5;21;10.73;169.87;
2006;6;21;12.69;97.75;
2006;7;21;11.88;52.42;
2006;8;21;6.19;22.58;
2006;9;21;4.12;0.00;
2006;10;21;5.75;5.00;
2006;11;21;9.88;149.42;
2006;12;21;11.22;66.58;
2007;1;21;4.22;112.00;
2007;2;21;3.55;3.00;
2007;3;21;4.05;134.00;
2007;4;21;9.54;117.42;
2007;5;21;9.35;181.42;
2007;6;21;18.58;87.12;
2007;7;21;6.59;85.46;
2007;8;21;8.88;4.58;
2007;9;21;3.97;50.00;
2007;10;21;13.70;13.00;
2007;11;21;13.15;414.46;
2007;12;21;14.79;144.08;
2008;1;21;8.39;204.42;
2008;2;21;10.46;120.04;
2008;3;21;13.66;186.83;
2008;4;21;10.27;183.42;
2008;5;21;12.53;360.71;
2008;6;21;11.58;277.87;
2008;7;21;12.36;35.17;
2008;8;21;6.55;28.00;
2008;9;21;5.68;41.82;
2008;10;21;6.99;42.42;
2008;11;21;15.85;126.17;
2008;12;21;18.05;258.79;
2009;1;21;8.73;218.21;
2009;2;21;8.73;70.00;
2009;3;21;8.83;117.00;
2009;4;21;10.04;143.62;
2009;5;21;7.53;66.79;
2009;6;21;7.20;54.58;
2009;7;21;9.20;44.00;
2009;8;21;8.31;10.00;
2009;9;21;4.13;30.00;
2009;10;21;4.18;25.00;
2009;11;21;6.17;146.71;
2009;12;21;4.18;84.29;
2010;1;21;2.76;77.00;
2010;2;21;2.81;2.00;
2010;3;21;2.52;75.00;
2010;4;21;8.36;16.17;
2010;5;21;9.04;206.92;
2010;6;21;9.41;167.21;
2010;7;21;9.99;78.71;
2010;8;21;5.49;114.00;
2010;9;21;3.85;64.04;
2010;10;21;6.12;47.96;
2010;11;21;19.03;199.50;
2010;12;21;16.32;255.17;
2011;1;21;7.39;127.33;
2011;2;21;15.83;61.00;
2011;3;21;19.70;372.17;
2011;4;21;18.57;117.83;
2011;5;21;18.02;263.00;
2011;6;21;12.34;97.00;
2011;7;21;12.68;35.00;
2011;8;21;5.57;69.92;
2011;9;21;5.59;4.08;
2011;10;21;12.77;42.29;
2011;11;21;15.05;260.71;
2011;12;21;25.66;336.25;
2012;1;21;17.57;206.75;
2012;2;21;10.22;232.00;
2012;3;21;6.73;66.00;
2012;4;21;10.58;74.00;
2012;5;21;6.13;174.00;
2012;6;21;7.23;17.00;
2012;7;21;7.42;0.00;
2012;8;21;7.18;0.00;
2012;9;21;5.03;13.00;
2012;10;21;5.42;5.00;
2012;11;21;4.05;193.12;
2012;12;21;7.15;142.50;
2013;1;21;3.45;125.38;
2013;2;21;4.88;95.00;
2013;3;21;5.49;70.00;
2013;4;21;6.86;78.00;
2013;5;21;6.43;162.92;
2013;6;21;6.95;54.71;
2013;7;21;11.35;25.79;
2013;8;21;7.48;37.42;
2013;9;21;5.91;28.17;
2013;10;21;3.92;14.00;
2013;11;21;10.74;86.46;
2013;12;21;9.08;341.79;
2014;1;21;6.17;81.75;
2014;2;21;5.07;125.12;
2014;3;21;8.48;114.88;
2014;4;21;5.39;145.00;
2014;5;21;7.97;48.00;
2014;6;21;15.81;145.00;
2014;7;21;16.06;36.00;
2014;8;21;10.77;25.00;
2014;9;21;5.57;14.00;
2014;10;21;7.19;78.00;
2014;11;21;8.91;189.00;
2014;12;21;10.00;125.00;
2015;1;21;3.79;135.00;
2015;2;21;7.59;73.00;
2015;3;21;5.49;74.25;
2015;4;21;9.87;118.75;
2015;5;21;6.40;106.00;
2015;6;21;22.82;0.00;
2015;7;21;13.14;57.00;
2015;8;21;8.79;23.00;
2015;9;21;3.92;12.00;
2015;10;21;3.38;20.62;
2015;11;21;4.39;90.42;
2015;12;21;1.97;58.96;
2016;1;21;7.52;0.00;
2016;2;21;7.65;84.00;
2016;3;21;8.46;21.00;
2016;4;21;9.82;153.00;
2016;5;21;9.61;143.00;
2016;6;21;10.84;50.12;
2016;7;21;10.38;12.88;
2016;8;21;7.37;17.00;
2016;9;21;4.87;5.60;
2016;10;21;7.17;87.37;
2016;11;21;11.06;138.58;
2016;12;21;12.77;82.04;
2017;1;21;7.21;94.00;
2017;2;21;7.64;204.00;
2017;3;21;8.54;88.00;
2017;4;21;10.04;276.00;
2017;5;21;9.41;128.71;
2017;6;21;12.46;132.29;
2017;7;21;11.07;104.00;
2017;8;21;7.52;26.00;
2017;9;21;4.78;36.00;
2017;10;21;6.94;0.00;
2017;11;21;10.72;43.00;
2017;12;21;11.84;249.00;
2018;1;21;7.00;119.00;
2018;2;21;7.68;61.87;
2018;3;21;8.34;202.67;
2018;4;21;9.93;91.25;
2018;5;21;9.30;96.21;
2018;6;21;12.28;70.00;
2018;7;21;10.92;36.00;
2018;8;21;7.64;24.00;
2018;9;21;4.85;35.00;
2018;10;21;7.09;71.00;
2018;11;21;10.84;209.17;
2018;12;21;12.00;78.83;
2019;1;21;7.30;0.00;
2019;2;21;8.09;70.00;
2019;3;21;8.79;105.92;
2019;4;21;9.98;124.17;
2019;5;21;9.31;145.92;
2019;6;21;11.66;0.00;
2019;7;21;11.36;0.00;
2019;8;21;7.50;0.00;
2019;9;21;4.93;0.00;
2019;10;21;6.41;69.00;
2019;11;21;10.60;41.79;
2019;12;21;11.70;115.21;
