year;month;mc;v_flow_mean;v_rainfall_total;
2014;5;29;66.63;1134.71;
2014;6;29;59.89;710.05;
2014;7;29;75.58;590.62;
2014;8;29;51.71;830.34;
2014;9;29;63.97;675.37;
2014;10;29;35.77;801.52;
2014;11;29;54.56;494.37;
2014;12;29;57.59;853.87;
2015;1;29;57.06;775.80;
2015;2;29;55.70;686.40;
2015;3;29;50.55;392.10;
2015;4;29;50.17;533.80;
2015;5;29;52.26;1136.54;
2015;6;29;35.87;781.02;
2015;7;29;59.47;368.90;
2015;8;29;69.29;1011.99;
2015;9;29;60.04;618.01;
2015;10;29;54.66;889.57;
2015;11;29;59.58;687.20;
2015;12;29;49.24;595.80;
2016;1;29;55.00;372.80;
2016;2;29;52.66;297.57;
2016;3;29;54.23;632.48;
2016;4;29;60.07;889.50;
2016;5;29;61.35;588.34;
2016;6;29;59.74;776.85;
2016;7;29;63.70;777.57;
2016;8;29;70.51;895.08;
2016;9;29;61.89;1211.46;
2016;10;29;55.68;668.81;
2016;11;29;62.30;889.89;
2016;12;29;56.26;987.17;
2017;1;29;55.23;732.65;
2017;2;29;54.16;482.71;
2017;3;29;53.96;380.73;
2017;4;29;61.57;519.60;
2017;5;29;62.27;883.57;
2017;6;29;60.10;596.79;
2017;7;29;62.86;827.57;
2017;8;29;70.07;869.46;
2017;9;29;61.95;1326.84;
2017;10;29;54.52;1446.47;
2017;11;29;61.84;843.54;
2017;12;29;55.37;937.30;
2018;1;29;56.11;687.48;
2018;2;29;55.53;679.51;
2018;3;29;53.20;520.66;
2018;4;29;59.20;509.87;
2018;5;29;62.43;860.42;
2018;6;29;60.96;1085.27;
2018;7;29;62.93;760.25;
2018;8;29;68.22;916.31;
2018;9;29;60.18;1084.85;
2018;10;29;54.85;486.77;
2018;11;29;62.02;798.35;
2018;12;29;54.75;1153.58;
2019;1;29;57.01;453.94;
2019;2;29;56.04;230.77;
2019;3;29;52.89;548.43;
2019;4;29;58.77;645.90;
2019;5;29;62.20;654.20;
2019;6;29;59.39;726.60;
2019;7;29;62.45;835.48;
2019;8;29;67.34;861.22;
2019;9;29;60.49;1048.02;
2019;10;29;56.31;1416.42;
2019;11;29;61.37;1032.96;
2019;12;29;55.91;620.01;
