CUENCA;A;Sm;FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha); ;FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);;FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
23;128701,744;33,38;733,64;389,02;156,90;437,68;262,70;560,49;178,95;214,49;249,96;406,94;691,30;541,42;108,54;148,89;70,40;280,24;512,28;167,35;223,65;;0,00570;0,00302;0,00122;0,00340;0,00204;0,00435;0,00139;0,00167;0,00194;0,00316;0,00537;0,00421;0,00084;0,00116;0,00055;0,00218;0,00398;0,00130;0,00174;;0,00570;0,00872;0,00994;0,01334;0,01538;0,01974;0,02113;0,02280;0,02474;0,02790;0,03327;0,03748;0,03832;0,03948;0,04003;0,04220;0,04618;0,04748;0,04922
24;122009,788;31,71;589,24;622,04;286,12;621,97;488,33;502,67;390,54;349,28;468,19;324,10;847,67;461,71;201,91;367,58;196,41;691,38;1144,70;590,62;474,98;;0,00483;0,00510;0,00235;0,00510;0,00400;0,00412;0,00320;0,00286;0,00384;0,00266;0,00695;0,00378;0,00165;0,00301;0,00161;0,00567;0,00938;0,00484;0,00389;;0,00483;0,00993;0,01227;0,01737;0,02137;0,02549;0,02869;0,03156;0,03539;0,03805;0,04500;0,04878;0,05044;0,05345;0,05506;0,06073;0,07011;0,07495;0,07884
25;105396,072;39,03;274,75;326,77;236,77;285,81;189,93;305,95;202,90;184,13;411,59;189,78;425,86;234,32;158,66;196,72;125,55;437,22;642,33;447,98;430,74;;0,00261;0,00310;0,00225;0,00271;0,00180;0,00290;0,00193;0,00175;0,00391;0,00180;0,00404;0,00222;0,00151;0,00187;0,00119;0,00415;0,00609;0,00425;0,00409;;0,00261;0,00571;0,00795;0,01067;0,01247;0,01537;0,01730;0,01904;0,02295;0,02475;0,02879;0,03101;0,03252;0,03438;0,03558;0,03972;0,04582;0,05007;0,05416
26;116778,876;33,05;160,87;141,95;69,11;134,32;169,95;319,22;248,51;160,26;318,46;141,27;121,74;612,05;85,51;234,94;70,40;162,09;272,85;134,10;101,07;;0,00138;0,00122;0,00059;0,00115;0,00146;0,00273;0,00213;0,00137;0,00273;0,00121;0,00104;0,00524;0,00073;0,00201;0,00060;0,00139;0,00234;0,00115;0,00087;;0,00138;0,00259;0,00318;0,00434;0,00579;0,00852;0,01065;0,01202;0,01475;0,01596;0,01700;0,02224;0,02298;0,02499;0,02559;0,02698;0,02932;0,03046;0,03133
27;153380,882;49,36;239,82;304,96;118,69;310,22;367,43;153,55;298,93;268,42;268,34;220,59;347,52;587,87;96,57;136,54;51,87;119,68;350,80;144,32;288,63;;0,00156;0,00199;0,00077;0,00202;0,00240;0,00100;0,00195;0,00175;0,00175;0,00144;0,00227;0,00383;0,00063;0,00089;0,00034;0,00078;0,00229;0,00094;0,00188;;0,00156;0,00355;0,00433;0,00635;0,00874;0,00974;0,01169;0,01344;0,01519;0,01663;0,01890;0,02273;0,02336;0,02425;0,02459;0,02537;0,02766;0,02860;0,03048
28;258146,102;56,41;376,66;422,88;187,95;244,93;237,91;141,65;290,24;289,17;325,78;240,58;292,68;306,25;204,81;152,56;83,22;171,70;672,31;141,27;286,65;;0,00146;0,00164;0,00073;0,00095;0,00092;0,00055;0,00112;0,00112;0,00126;0,00093;0,00113;0,00119;0,00079;0,00059;0,00032;0,00067;0,00260;0,00055;0,00111;;0,00146;0,00310;0,00383;0,00477;0,00570;0,00624;0,00737;0,00849;0,00975;0,01068;0,01182;0,01300;0,01380;0,01439;0,01471;0,01537;0,01798;0,01853;0,01964
29;280577,24;36,05;262,17;439,21;143,33;171,47;381,85;267,58;724,10;221,05;626,39;310,07;153,47;440,88;131,05;115,71;105,72;188,41;385,51;240,81;207,32;;0,00093;0,00157;0,00051;0,00061;0,00136;0,00095;0,00258;0,00079;0,00223;0,00111;0,00055;0,00157;0,00047;0,00041;0,00038;0,00067;0,00137;0,00086;0,00074;;0,00093;0,00250;0,00301;0,00362;0,00498;0,00594;0,00852;0,00930;0,01154;0,01264;0,01319;0,01476;0,01523;0,01564;0,01602;0,01669;0,01806;0,01892;0,01966
30;60384,719;34,02;96,11;77,65;25,48;93,82;121,13;100,08;88,18;92,68;141,34;64,23;145,69;309,23;49,35;94,05;70,33;99,01;112,97;91,30;109,31;;0,00159;0,00129;0,00042;0,00155;0,00201;0,00166;0,00146;0,00153;0,00234;0,00106;0,00241;0,00512;0,00082;0,00156;0,00116;0,00164;0,00187;0,00151;0,00181;;0,00159;0,00288;0,00330;0,00485;0,00686;0,00852;0,00998;0,01151;0,01385;0,01492;0,01733;0,02245;0,02327;0,02482;0,02599;0,02763;0,02950;0,03101;0,03282
31;70585,624;11,54;120,90;56,67;42,72;104,27;44,85;77,73;100,69;61,25;256,98;53,70;61,33;181,39;107,93;280,24;103,36;78,95;101,98;37,91;23,65;;0,00171;0,00080;0,00061;0,00148;0,00064;0,00110;0,00143;0,00087;0,00364;0,00076;0,00087;0,00257;0,00153;0,00397;0,00146;0,00112;0,00144;0,00054;0,00033;;0,00171;0,00252;0,00312;0,00460;0,00523;0,00633;0,00776;0,00863;0,01227;0,01303;0,01390;0,01647;0,01800;0,02197;0,02343;0,02455;0,02600;0,02653;0,02687
32;260578,632;24,9;232,34;171,70;93,90;219,68;298,09;281,46;352,86;223,26;445,23;276,13;222,81;737,15;299,77;657,21;173,00;252,33;400,08;260,72;125,78;;0,00089;0,00066;0,00036;0,00084;0,00114;0,00108;0,00135;0,00086;0,00171;0,00106;0,00086;0,00283;0,00115;0,00252;0,00066;0,00097;0,00154;0,00100;0,00048;;0,00089;0,00155;0,00191;0,00275;0,00390;0,00498;0,00633;0,00719;0,00890;0,00996;0,01081;0,01364;0,01479;0,01731;0,01798;0,01895;0,02048;0,02148;0,02196
33;107706,673;40,97;283,75;71,62;18,84;166,21;120,06;121,05;57,74;103,97;132,72;104,42;107,09;150,88;82,91;139,66;24,33;22,65;48,74;38,06;37,60;;0,00263;0,00066;0,00017;0,00154;0,00111;0,00112;0,00054;0,00097;0,00123;0,00097;0,00099;0,00140;0,00077;0,00130;0,00023;0,00021;0,00045;0,00035;0,00035;;0,00263;0,00330;0,00347;0,00502;0,00613;0,00726;0,00779;0,00876;0,00999;0,01096;0,01195;0,01335;0,01412;0,01542;0,01565;0,01586;0,01631;0,01666;0,01701
34;83402,342;36,46;315,26;112,97;24,79;237,99;223,04;217,09;79,18;118,99;164,00;143,17;160,49;222,73;88,79;126,77;31,12;49,20;230,59;65,06;100,61;;0,00378;0,00135;0,00030;0,00285;0,00267;0,00260;0,00095;0,00143;0,00197;0,00172;0,00192;0,00267;0,00106;0,00152;0,00037;0,00059;0,00276;0,00078;0,00121;;0,00378;0,00513;0,00543;0,00829;0,01096;0,01356;0,01451;0,01594;0,01790;0,01962;0,02155;0,02422;0,02528;0,02680;0,02717;0,02776;0,03053;0,03131;0,03251
35;52512,433;16,95;102,21;74,90;12,89;102,67;62,62;146,83;37,30;46,15;89,55;137,15;132,57;155,30;26,32;96,80;11,75;82,07;80,78;94,20;94,89;;0,00195;0,00143;0,00025;0,00196;0,00119;0,00280;0,00071;0,00088;0,00171;0,00261;0,00252;0,00296;0,00050;0,00184;0,00022;0,00156;0,00154;0,00179;0,00181;;0,00195;0,00337;0,00362;0,00557;0,00677;0,00956;0,01027;0,01115;0,01286;0,01547;0,01799;0,02095;0,02145;0,02329;0,02352;0,02508;0,02662;0,02841;0,03022
36;146154,905;45,37;313,58;234,40;104,81;163,01;160,11;195,73;129,90;233,33;277,19;175,36;209,23;268,50;89,86;98,47;75,59;126,09;291,53;91,61;70,10;;0,00215;0,00160;0,00072;0,00112;0,00110;0,00134;0,00089;0,00160;0,00190;0,00120;0,00143;0,00184;0,00061;0,00067;0,00052;0,00086;0,00199;0,00063;0,00048;;0,00215;0,00375;0,00447;0,00558;0,00668;0,00802;0,00891;0,01050;0,01240;0,01360;0,01503;0,01687;0,01748;0,01816;0,01867;0,01954;0,02153;0,02216;0,02264
37;248742,73;43,46;63,92;63,39;13,81;131,43;139,66;51,41;164,84;77,96;149,50;141,57;82,84;221,51;26,93;71,01;28,83;140,96;144,24;31,88;61,86;;0,00026;0,00025;0,00006;0,00053;0,00056;0,00021;0,00066;0,00031;0,00060;0,00057;0,00033;0,00089;0,00011;0,00029;0,00012;0,00057;0,00058;0,00013;0,00025;;0,00026;0,00051;0,00057;0,00110;0,00166;0,00186;0,00253;0,00284;0,00344;0,00401;0,00434;0,00523;0,00534;0,00563;0,00574;0,00631;0,00689;0,00702;0,00727
38;74555,854;46,55;31,81;135,24;52,40;208,31;144,70;49,35;167,20;83,22;74,07;75,13;51,18;205,19;19,07;57,06;53,39;107,55;134,71;136,31;94,97;;0,00043;0,00181;0,00070;0,00279;0,00194;0,00066;0,00224;0,00112;0,00099;0,00101;0,00069;0,00275;0,00026;0,00077;0,00072;0,00144;0,00181;0,00183;0,00127;;0,00043;0,00224;0,00294;0,00574;0,00768;0,00834;0,01058;0,01170;0,01269;0,01370;0,01439;0,01714;0,01739;0,01816;0,01888;0,02032;0,02213;0,02395;0,02523
39;434800,07;19,79;366,59;594,28;396,80;745,00;626,62;869,49;1159,73;759,12;937,22;1040,66;1268,50;1265,75;700,99;1117,85;1180,40;4285,96;7241,95;3351,95;2214,57;;0,00084;0,00137;0,00091;0,00171;0,00144;0,00200;0,00267;0,00175;0,00216;0,00239;0,00292;0,00291;0,00161;0,00257;0,00271;0,00986;0,01666;0,00771;0,00509;;0,00084;0,00221;0,00312;0,00484;0,00628;0,00828;0,01094;0,01269;0,01485;0,01724;0,02016;0,02307;0,02468;0,02725;0,02997;0,03982;0,05648;0,06419;0,06928
40;197721,741;48,88;44,77;110,22;10,91;163,92;140,81;40,96;180,40;101,98;99,92;75,36;73,84;253,24;12,36;26,32;51,41;129,14;155,00;90,69;38,98;;0,00023;0,00056;0,00006;0,00083;0,00071;0,00021;0,00091;0,00052;0,00051;0,00038;0,00037;0,00128;0,00006;0,00013;0,00026;0,00065;0,00078;0,00046;0,00020;;0,00023;0,00078;0,00084;0,00167;0,00238;0,00259;0,00350;0,00402;0,00452;0,00490;0,00528;0,00656;0,00662;0,00675;0,00701;0,00767;0,00845;0,00891;0,00910
41;26400,342;60,22;7,70;2,97;0,15;4,35;7,86;0,61;7,48;3,13;4,35;3,89;3,97;9,92;1,68;0,31;1,60;25,63;9,99;4,65;0,46;;0,00029;0,00011;0,00001;0,00016;0,00030;0,00002;0,00028;0,00012;0,00016;0,00015;0,00015;0,00038;0,00006;0,00001;0,00006;0,00097;0,00038;0,00018;0,00002;;0,00029;0,00040;0,00041;0,00057;0,00087;0,00090;0,00118;0,00130;0,00146;0,00161;0,00176;0,00214;0,00220;0,00221;0,00227;0,00324;0,00362;0,00380;0,00381
42;248682,326;32,49;98,40;35,62;49,43;86,50;128,53;100,76;149,28;71,01;166,44;119,07;173,68;177,04;30,28;18,99;13,81;26,54;31,12;25,55;44,09;;0,00040;0,00014;0,00020;0,00035;0,00052;0,00041;0,00060;0,00029;0,00067;0,00048;0,00070;0,00071;0,00012;0,00008;0,00006;0,00011;0,00013;0,00010;0,00018;;0,00040;0,00054;0,00074;0,00109;0,00160;0,00201;0,00261;0,00289;0,00356;0,00404;0,00474;0,00545;0,00557;0,00565;0,00571;0,00581;0,00594;0,00604;0,00622
