year;month;mc;v_flow_mean;v_rainfall_total
2015;6;25;3.67;25.00
2015;7;25;3.09;22.00
2015;8;25;2.92;19.60
2015;9;25;3.88;0.00
2015;10;25;4.39;117.67
2015;11;25;5.19;256.71
2015;12;25;3.97;62.63
2016;1;25;3.11;13.00
2016;2;25;2.96;0.00
2016;3;25;2.92;11.00
2016;4;25;5.78;132.71
2016;5;25;7.88;153.29
2016;6;25;3.81;63.00
2016;7;25;3.23;25.00
2016;8;25;3.46;15.00
2016;9;25;3.36;29.00
2016;10;25;7.08;51.00
2016;11;25;12.55;273.00
2016;12;25;8.48;102.00
2017;1;25;5.16;34.00
2017;2;25;4.04;2.10
2017;3;25;6.51;54.00
2017;4;25;11.78;122.00
2017;5;25;15.07;109.00
2017;6;25;8.82;343.00
2017;7;25;7.46;71.00
2017;8;25;7.51;21.00
2017;9;25;9.75;48.00
2017;10;25;13.33;145.54
2017;11;25;15.25;118.62
2017;12;25;8.82;299.83
2018;1;25;7.50;19.00
2018;2;25;5.18;0.00
2018;3;25;5.56;13.00
2018;4;25;12.68;74.50
2018;5;25;20.90;269.50
2018;6;25;8.96;85.00
2018;7;25;6.71;28.00
2018;8;25;5.52;0.00
2018;9;25;8.93;5.00
2018;10;25;15.58;182.92
2018;11;25;11.55;647.58
2018;12;25;7.40;32.50
2019;1;25;5.94;0.00
2019;2;25;4.10;0.00
2019;3;25;5.96;0.00
2019;4;25;12.74;23.00
2019;5;25;13.07;76.00
2019;6;25;12.13;352.00
2019;7;25;6.10;3.00
2019;8;25;4.92;2.00
2019;9;25;5.62;0.00
2019;10;25;7.05;37.00
2019;11;25;7.65;268.64
2019;12;25;5.52;183.06
