year;month;mc;v_flow_mean;v_rainfall_total;
2000;1;23;28.20;65.00;
2000;2;23;36.32;9.00;
2000;3;23;44.63;117.00;
2000;4;23;158.90;119.00;
2000;5;23;396.80;127.00;
2000;6;23;276.60;581.00;
2000;7;23;184.90;316.54;
2000;8;23;120.50;243.46;
2000;9;23;138.90;210.00;
2000;10;23;226.50;172.62;
2000;11;23;128.20;239.38;
2000;12;23;85.94;218.04;
2001;1;23;52.07;77.96;
2001;2;23;12.66;0.00;
2001;3;23;51.87;17.00;
2001;4;23;95.24;87.00;
2001;5;23;191.60;199.00;
2001;6;23;244.60;386.12;
2001;7;23;201.50;292.08;
2001;8;23;152.10;274.33;
2001;9;23;306.20;176.46;
2001;10;23;170.30;326.00;
2001;11;23;157.00;211.00;
2001;12;23;129.50;263.00;
2002;1;23;41.52;283.00;
2002;2;23;20.66;0.00;
2002;3;23;169.20;0.00;
2002;4;23;196.10;272.00;
2002;5;23;298.40;362.00;
2002;6;23;370.70;507.00;
2002;7;23;290.40;318.00;
2002;8;23;158.00;336.00;
2002;9;23;154.60;177.00;
2002;10;23;156.40;256.00;
2002;11;23;125.10;216.00;
2002;12;23;42.47;158.00;
2003;1;23;14.69;54.00;
2003;2;23;9.37;0.00;
2003;3;23;20.00;2.00;
2003;4;23;149.50;254.00;
2003;5;23;232.30;505.00;
2003;6;23;231.60;379.00;
2003;7;23;158.60;271.00;
2003;8;23;170.50;173.50;
2003;9;23;187.30;292.50;
2003;10;23;108.30;227.00;
2003;11;23;165.60;110.00;
2003;12;23;100.80;165.50;
2004;1;23;58.11;33.50;
2004;2;23;46.43;27.00;
2004;3;23;91.44;148.46;
2004;4;23;184.80;239.54;
2004;5;23;411.70;476.00;
2004;6;23;386.20;441.96;
2004;7;23;319.10;447.29;
2004;8;23;189.40;361.75;
2004;9;23;109.20;196.50;
2004;10;23;202.40;181.50;
2004;11;23;141.50;187.46;
2004;12;23;120.90;257.54;
2005;1;23;54.01;120.00;
2005;2;23;46.59;18.00;
2005;3;23;33.37;100.00;
2005;4;23;171.10;140.00;
2005;5;23;331.10;468.00;
2005;6;23;299.10;315.00;
2005;7;23;156.00;312.00;
2005;8;23;132.20;225.00;
2005;9;23;88.45;179.00;
2005;10;23;149.70;109.00;
2005;11;23;262.00;308.00;
2005;12;23;64.54;128.00;
2006;1;23;35.48;0.00;
2006;2;23;41.42;104.00;
2006;3;23;129.50;0.00;
2006;4;23;223.20;282.00;
2006;5;23;242.50;264.00;
2006;6;23;226.90;297.29;
2006;7;23;206.40;184.71;
2006;8;23;175.10;285.79;
2006;9;23;218.30;315.21;
2006;10;23;238.50;223.00;
2006;11;23;207.20;206.00;
2006;12;23;97.03;140.00;
2007;1;23;41.69;20.00;
2007;2;23;14.05;0.00;
2007;3;23;46.15;3.00;
2007;4;23;185.10;209.25;
2007;5;23;234.70;406.75;
2007;6;23;355.20;403.00;
2007;7;23;268.10;436.00;
2007;8;23;183.00;206.00;
2007;9;23;151.20;292.00;
2007;10;23;121.70;157.00;
2007;11;23;192.20;207.00;
2007;12;23;102.10;123.00;
2008;1;23;39.97;20.00;
2008;2;23;31.73;0.00;
2008;3;23;47.31;29.00;
2008;4;23;111.60;13.00;
2008;5;23;246.40;309.42;
2008;6;23;311.10;328.21;
2008;7;23;297.00;413.58;
2008;8;23;183.90;360.58;
2008;9;23;188.70;171.21;
2008;10;23;246.90;309.00;
2008;11;23;305.50;264.00;
2008;12;23;143.40;0.00;
2009;1;23;35.50;0.00;
2009;2;23;36.01;100.37;
2009;3;23;46.69;25.63;
2009;4;23;189.40;119.00;
2009;5;23;254.10;217.00;
2009;6;23;303.60;505.00;
2009;7;23;334.30;442.33;
2009;8;23;253.40;309.67;
2009;9;23;122.30;250.00;
2009;10;23;142.10;213.00;
2009;11;23;96.36;246.00;
2009;12;23;39.29;98.00;
2010;1;23;11.64;0.00;
2010;2;23;29.52;0.00;
2010;3;23;114.30;133.00;
2010;4;23;224.00;331.00;
2010;5;23;306.20;521.00;
2010;6;23;401.80;341.00;
2010;7;23;286.60;644.83;
2010;8;23;171.70;175.17;
2010;9;23;106.20;282.46;
2010;10;23;142.20;198.54;
2010;11;23;170.00;311.54;
