cuenca|area_hidrografica|zona_hidrografica|subzona_hidrografica|departamento|municipio|area_cuenca_ha|area_municipio_por_cuenca_ha|area_municipio_por_cuenca_porc
43|Magdalena Cauca|Saldaña|Río Tetuán, Río Ortega|TOLIMA|SAN LUIS|120427.7|0.21|0
43|Magdalena Cauca|Saldaña|Río Tetuán, Río Ortega|TOLIMA|CHAPARRAL|120427.7|29554.07|24.54
43|Magdalena Cauca|Saldaña|Río Tetuán, Río Ortega|TOLIMA|RONCESVALLES|120427.7|55.74|0.05
43|Magdalena Cauca|Saldaña|Río Tetuán, Río Ortega|TOLIMA|SAN ANTONIO|120427.7|27183.43|22.57
44|Magdalena Cauca|Alto Magdalena|Río Prado|CUNDINAMARCA|CABRERA|167591.35|202.34|0.12
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|VILLARRICA|167591.35|43193.54|25.77
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|ICONONZO|167591.35|4763.94|2.84
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|CUNDAY|167591.35|50469.29|30.11
44|Magdalena Cauca|Alto Magdalena|Río Prado|HUILA|COLOMBIA|167591.35|0.06|0
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|DOLORES|167591.35|22619.59|13.5
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|PRADO|167591.35|29663.73|17.7
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|PURIFICACIÓN|167591.35|15618.13|9.32
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|SUÁREZ|167591.35|3.5|0
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|CARMEN DE APICALÁ|167591.35|229.82|0.14
44|Magdalena Cauca|Alto Magdalena|Río Prado|TOLIMA|MELGAR|167591.35|827.43|0.49
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|APÍA|125822.91|14399.82|11.45
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|QUINCHÍA|125822.91|140.58|0.11
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|VITERBO|125822.91|11238.52|8.93
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|ANSERMA|125822.91|8375.92|6.66
45|Magdalena Cauca|Cauca|Río Risaralda|ANTIOQUIA|JARDÍN|125822.91|198.39|0.16
45|Magdalena Cauca|Cauca|Río Risaralda|ANTIOQUIA|TÁMESIS|125822.91|9.5|0.01
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|LA VIRGINIA|125822.91|1213.91|0.97
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|BALBOA|125822.91|3745.18|2.98
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|BELALCÁZAR|125822.91|5509.66|4.38
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|LA CELIA|125822.91|1319.72|1.05
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|SANTUARIO|125822.91|19015.18|15.11
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|BELÉN DE UMBRÍA|125822.91|18144.86|14.42
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|PUEBLO RICO|125822.91|60.6|0.05
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|MISTRATÓ|125822.91|8777.57|6.98
45|Magdalena Cauca|Cauca|Río Risaralda|RISARALDA|GUÁTICA|125822.91|8187.39|6.51
45|Magdalena Cauca|Cauca|Río Risaralda|CHOCÓ|SAN JOSÉ DEL PALMAR|125822.91|2.12|0
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|SAN JOSÉ|125822.91|4536.52|3.61
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|RISARALDA|125822.91|2328.1|1.85
45|Magdalena Cauca|Cauca|Río Risaralda|CALDAS|RIOSUCIO|125822.91|18619.36|14.8
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|META|CUBARRAL|304817.7|397.24|0.13
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|PASCA|304817.7|25505.04|8.37
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|SATA FE DE BOGOTÁ D.C.|BOGOTÁ, D.C.|304817.7|42091|13.81
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|SOACHA|304817.7|1071.81|0.35
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|SIBATÉ|304817.7|2916.78|0.96
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|META|URIBE|304817.7|3.71|0
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|TIBACUY|304817.7|8460.34|2.78
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|FUSAGASUGÁ|304817.7|20746.03|6.81
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|ARBELÁEZ|304817.7|14750.55|4.84
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|SAN BERNARDO|304817.7|23901.88|7.84
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|CABRERA|304817.7|41805.89|13.72
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|EL COLEGIO|304817.7|0.92|0
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|TOLIMA|VILLARRICA|304817.7|11.98|0
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|TOLIMA|FLANDES|304817.7|0.05|0
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|TOLIMA|ICONONZO|304817.7|16596.42|5.45
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|TOLIMA|CUNDAY|304817.7|148.53|0.05
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|TOCAIMA|304817.7|17.23|0.01
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|RICAURTE|304817.7|3433.67|1.13
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|NILO|304817.7|22392.68|7.35
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|AGUA DE DIOS|304817.7|1514.74|0.5
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|SILVANIA|304817.7|16342.26|5.36
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|PANDI|304817.7|8152.09|2.67
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|VENECIA|304817.7|11076.2|3.63
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|GRANADA|304817.7|4608.19|1.51
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|SAN ANTONIO DEL TEQUENDAMA|304817.7|47|0.02
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|CUNDINAMARCA|VIOTÁ|304817.7|69.56|0.02
46|Magdalena Cauca|Alto Magdalena|Río Sumapaz|HUILA|COLOMBIA|304817.7|355.05|0.12
