cuenca|area_ha|a1_porc_est_precip|rango_a1|a2_porc_est_precip|rango_a2|b2_porc_est_precip|rango_b2
169|795043.74|0.778138|Entre -10% a 10%|10.22865|Entre 10% a 30%|10.968025|Entre 10% a 30%
170|1832798.68|3.22642|Entre -10% a 10%|13.045529|Entre 10% a 30%|14.061801|Entre 10% a 30%
171|1375137.28|3.546392|Entre -10% a 10%|12.380854|Entre 10% a 30%|13.425607|Entre 10% a 30%
172|1176737.68|2.236215|Entre -10% a 10%|11.235354|Entre 10% a 30%|11.911308|Entre 10% a 30%
173|683113.86|4.252669|Entre -10% a 10%|14.589403|Entre 10% a 30%|15.32223|Entre 10% a 30%
174|557456.69|-21.558705|Entre -30% a -10%|-28.910349|Entre -30% a -10%|-30.379546|Menores de -30%
175|189544.75|-11.96613|Entre -30% a -10%|-21.514985|Entre -30% a -10%|-19.574507|Entre -30% a -10%
176|392236.1|-14.157726|Entre -30% a -10%|-29.118131|Entre -30% a -10%|-27.454364|Entre -30% a -10%
177|144188.59|-14.2732|Entre -30% a -10%|-28.9052|Entre -30% a -10%|-29.9479|Entre -30% a -10%
178|297510.34|-4.870228|Entre -10% a 10%|-29.538185|Entre -30% a -10%|-26.24652|Entre -30% a -10%
179|227380.76|13.413485|Entre 10% a 30%|-6.575198|Entre -10% a 10%|-4.645307|Entre -10% a 10%
180|458916.46|1.993443|Entre -10% a 10%|-16.188005|Entre -30% a -10%|-13.803964|Entre -30% a -10%
181|205074.62|15.019182|Entre 10% a 30%|-4.965402|Entre -10% a 10%|0.688613|Entre -10% a 10%
182|144736.27|3.581924|Entre -10% a 10%|-14.185238|Entre -30% a -10%|-13.138552|Entre -30% a -10%
183|71210.54|14.751214|Entre 10% a 30%|-25.866779|Entre -30% a -10%|-23.369321|Entre -30% a -10%
184|115396.29|15.3895|Entre 10% a 30%|-9.758325|Entre -10% a 10%|6.953945|Entre -10% a 10%
185|565304.44|20.821723|Entre 10% a 30%|12.940516|Entre 10% a 30%|10.527281|Entre 10% a 30%
186|89416.43|12.430845|Entre 10% a 30%|-0.06765|Entre -10% a 10%|-0.83191|Entre -10% a 10%
187|538129.65|0.935493|Entre -10% a 10%|6.411032|Entre -10% a 10%|7.187702|Entre -10% a 10%
188|582525.47|1.958898|Entre -10% a 10%|-6.715212|Entre -10% a 10%|-5.672569|Entre -10% a 10%
189|111646.26|12.83613|Entre 10% a 30%|4.079517|Entre -10% a 10%|5.2308|Entre -10% a 10%
190|265003.37|15.63084|Entre 10% a 30%|8.540987|Entre -10% a 10%|9.9546|Entre -10% a 10%
191|536636.45|-7.776352|Entre -10% a 10%|-10.129322|Entre -30% a -10%|-9.446065|Entre -10% a 10%
192|181469.48|12.981675|Entre 10% a 30%|3.335682|Entre -10% a 10%|3.85764|Entre -10% a 10%
193|308661.11|16.697175|Entre 10% a 30%|2.55417|Entre -10% a 10%|2.806098|Entre -10% a 10%
194|160216.96|-3.751997|Entre -10% a 10%|0.27132|Entre -10% a 10%|2.88306|Entre -10% a 10%
195|346657.82|-23.650126|Entre -30% a -10%|-18.139079|Entre -30% a -10%|-18.224571|Entre -30% a -10%
196|259394.07|-1.815058|Entre -10% a 10%|-11.555502|Entre -30% a -10%|-11.744175|Entre -30% a -10%
197|181271|19.572028|Entre 10% a 30%|-3.391894|Entre -10% a 10%|-2.107508|Entre -10% a 10%
198|166531.63|-15.710606|Entre -30% a -10%|-23.607544|Entre -30% a -10%|-23.605576|Entre -30% a -10%
199|90055.71|-11.274237|Entre -30% a -10%|-19.080679|Entre -30% a -10%|-18.631211|Entre -30% a -10%
200|423794.42|3.094965|Entre -10% a 10%|-12.49125|Entre -30% a -10%|-9.79731|Entre -10% a 10%
201|195536.44|26.852856|Entre 10% a 30%|14.088469|Entre 10% a 30%|18.788023|Entre 10% a 30%
202|428354.96|8.297176|Entre -10% a 10%|4.291292|Entre -10% a 10%|9.063922|Entre -10% a 10%
203|54191.83|3.197136|Entre -10% a 10%|-3.908045|Entre -10% a 10%|-0.626409|Entre -10% a 10%
204|107824.21|28.536405|Entre 10% a 30%|9.305886|Entre -10% a 10%|12.569862|Entre 10% a 30%
205|404681.39|12.57794|Entre 10% a 30%|-3.857339|Entre -10% a 10%|-3.409186|Entre -10% a 10%
206|282152.77|-15.316109|Entre -30% a -10%|-19.580409|Entre -30% a -10%|-19.95055|Entre -30% a -10%
207|205131.02|-16.240544|Entre -30% a -10%|-18.794147|Entre -30% a -10%|-20.600209|Entre -30% a -10%
208|190102.48|-0.970226|Entre -10% a 10%|-13.711629|Entre -30% a -10%|-11.515534|Entre -30% a -10%
209|93243.59|0.845653|Entre -10% a 10%|-9.248916|Entre -10% a 10%|-9.441189|Entre -10% a 10%
210|74136.59|-1.123365|Entre -10% a 10%|-6.705953|Entre -10% a 10%|-7.668924|Entre -10% a 10%
211|302200.55|-24.419449|Entre -30% a -10%|-19.830486|Entre -30% a -10%|-19.777297|Entre -30% a -10%
212|242190.48|-11.143657|Entre -30% a -10%|-17.136188|Entre -30% a -10%|-18.064692|Entre -30% a -10%
213|83114.95|-17.1167|Entre -30% a -10%|-21.087907|Entre -30% a -10%|-22.512187|Entre -30% a -10%
214|353124.91|-15.390838|Entre -30% a -10%|-20.281892|Entre -30% a -10%|-22.102725|Entre -30% a -10%
215|196067.24|-20.636267|Entre -30% a -10%|-19.809045|Entre -30% a -10%|-23.140321|Entre -30% a -10%
216|265758.05|-1.840339|Entre -10% a 10%|-14.309663|Entre -30% a -10%|-9.548267|Entre -10% a 10%
217|276202.01|2.31337|Entre -10% a 10%|12.1185|Entre 10% a 30%|12.968296|Entre 10% a 30%
218|787123.62|1.096422|Entre -10% a 10%|8.330939|Entre -10% a 10%|11.701485|Entre 10% a 30%
219|368476.95|3.288608|Entre -10% a 10%|13.39427|Entre 10% a 30%|14.350595|Entre 10% a 30%
220|437201.81|3.24486|Entre -10% a 10%|11.993953|Entre 10% a 30%|14.18914|Entre 10% a 30%
221|343916.41|3.781448|Entre -10% a 10%|14.291045|Entre 10% a 30%|15.069313|Entre 10% a 30%
222|427368.61|3.912083|Entre -10% a 10%|14.552321|Entre 10% a 30%|15.225583|Entre 10% a 30%
223|19117.01|-27.4159|Entre -30% a -10%|-41.305433|Menores de -30%|-41.116533|Menores de -30%
224|1339779.08|5.257393|Entre -10% a 10%|13.325679|Entre 10% a 30%|16.752|Entre 10% a 30%
225|538119.1|5.3267|Entre -10% a 10%|16.535982|Entre 10% a 30%|16.738427|Entre 10% a 30%
226|101987.04|3.340056|Entre -10% a 10%|14.593833|Entre 10% a 30%|14.109667|Entre 10% a 30%
227|256939.24|1.212883|Entre -10% a 10%|9.616981|Entre -10% a 10%|10.326654|Entre 10% a 30%
228|230733.9|0.874544|Entre -10% a 10%|9.267093|Entre -10% a 10%|10.171953|Entre 10% a 30%
229|862482|4.201298|Entre -10% a 10%|14.023243|Entre 10% a 30%|14.236669|Entre 10% a 30%
230|1233349.21|3.377072|Entre -10% a 10%|13.28974|Entre 10% a 30%|12.505932|Entre 10% a 30%
231|384073.22|3.320346|Entre -10% a 10%|14.612605|Entre 10% a 30%|13.800938|Entre 10% a 30%
232|1273250.76|-6.57709|Entre -10% a 10%|4.486718|Entre -10% a 10%|1.462389|Entre -10% a 10%
233|584125.21|1.191656|Entre -10% a 10%|12.531162|Entre 10% a 30%|11.297248|Entre 10% a 30%
234|782992.48|2.624656|Entre -10% a 10%|9.582234|Entre -10% a 10%|10.147494|Entre 10% a 30%
235|926625.63|-3.961955|Entre -10% a 10%|4.812469|Entre -10% a 10%|6.114895|Entre -10% a 10%
236|549279.08|-22.329162|Entre -30% a -10%|-7.838264|Entre -10% a 10%|-6.662427|Entre -10% a 10%
237|584055.93|-13.168397|Entre -30% a -10%|-3.69367|Entre -10% a 10%|0.082819|Entre -10% a 10%
238|443837.13|-11.799477|Entre -30% a -10%|-22.744627|Entre -30% a -10%|-23.824436|Entre -30% a -10%
