cuenca|area_ha|a1_porc_est_precip|rango_a1|a2_porc_est_precip|rango_a2|b2_porc_est_precip|rango_b2
295|329599.12|-20.082406|Entre -30% a -10%|-7.101044|Entre -10% a 10%|-3.64555|Entre -10% a 10%
296|92963.68|-1.115377|Entre -10% a 10%|-17.745277|Entre -30% a -10%|-13.931689|Entre -30% a -10%
297|172218.58|1.640854|Entre -10% a 10%|11.391641|Entre 10% a 30%|12.198128|Entre 10% a 30%
298|587842.53|-34.929543|Menores de -30%|-24.168234|Entre -30% a -10%|-20.182621|Entre -30% a -10%
299|457194.63|-29.93104|Entre -30% a -10%|-24.305265|Entre -30% a -10%|-22.466676|Entre -30% a -10%
300|43474.46|-28.209889|Entre -30% a -10%|-26.089222|Entre -30% a -10%|-22.672189|Entre -30% a -10%
301|325407.3|-12.991171|Entre -30% a -10%|-26.703227|Entre -30% a -10%|-19.831586|Entre -30% a -10%
302|187671.26|-22.749194|Entre -30% a -10%|-7.287055|Entre -10% a 10%|-5.091397|Entre -10% a 10%
303|363657.52|-21.463869|Entre -30% a -10%|-21.832659|Entre -30% a -10%|-23.460528|Entre -30% a -10%
304|92719.59|-14.932139|Entre -30% a -10%|12.275833|Entre 10% a 30%|21.446667|Entre 10% a 30%
305|59158.43|-11.4856|Entre -30% a -10%|-26.637169|Entre -30% a -10%|-25.743277|Entre -30% a -10%
306|21195.64|-18.728584|Entre -30% a -10%|-18.520853|Entre -30% a -10%|-24.036679|Entre -30% a -10%
307|186747.31|-3.779881|Entre -10% a 10%|-4.252076|Entre -10% a 10%|-0.701786|Entre -10% a 10%
308|19262.6|-22.058023|Entre -30% a -10%|-15.293646|Entre -30% a -10%|-23.360769|Entre -30% a -10%
309|26218.02|-7.203317|Entre -10% a 10%|-11.607157|Entre -30% a -10%|-14.813983|Entre -30% a -10%
310|22551.72|-16.752898|Entre -30% a -10%|-7.622276|Entre -10% a 10%|-2.431162|Entre -10% a 10%
311|46691.52|-1.815058|Entre -10% a 10%|-11.555502|Entre -30% a -10%|-11.744175|Entre -30% a -10%
312|68456.1|-1.115377|Entre -10% a 10%|-17.745277|Entre -30% a -10%|-13.931689|Entre -30% a -10%
313|127696.55|-20.768077|Entre -30% a -10%|-23.587159|Entre -30% a -10%|-24.803959|Entre -30% a -10%
314|199180.68|-14.081167|Entre -30% a -10%|-20.730815|Entre -30% a -10%|-18.283379|Entre -30% a -10%
315|1275.2|-14.081167|Entre -30% a -10%|-20.730815|Entre -30% a -10%|-18.283379|Entre -30% a -10%
316|1275.2|-14.081167|Entre -30% a -10%|-20.730815|Entre -30% a -10%|-18.283379|Entre -30% a -10%
